,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/BR/MIN/34679/2019,Proposed Sand Mining Project of area 5.0 ha at Jaymangla Manoj   Ghat Simariya on Ganga River of District- Begusarai of State- Bihar,Non-Coal Mining,12 Apr 2019,12/04/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/34679/2019&type=EC&ID=54750
1,SIA/BR/MIN/34086/2019,Dina patti Sand Ghat on Parwana River,Non-Coal Mining,02 Apr 2019,02/04/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/34086/2019&type=EC&ID=54482
2,SIA/BR/IND/32752/2018,Kamper Concast Ltd,Industrial Projects - 1,17 Mar 2019,17/03/2019,,,15/04/2019,,,16/04/2019,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/32752/2018&type=EC&ID=53799
3,SIA/BR/MIS/272191/2022,Medical & Allied Sciences Campus (KK Medical College & Hospital) A Unit of Samajik Kalyan Sanstha,INFRA-2,27 Jun 2022,10/05/2022,24/06/2022,27/06/2022,28/06/2022,,,28/06/2022,,02/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/272191/2022&type=EC&ID=203177
4,SIA/BR/MIN/137921/2020,"Brick Earth Mining Project at Village- Barki Hardiya, P.o.- Barki Hardiya, P.S.- Jagdishpur, Dist.- Bhojpur (Bihar)",Non-Coal Mining,21 Jan 2020,21/01/2020,03/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/137921/2020&type=EC&ID=85982
5,SIA/BR/MIN/138625/2020,"LACHHMINIYA SAND GHAT (SAPTGANDHI RIVER), APPLICANT- MR. SUJEET KUMAR, AREA- 0.8 HA., VILLAGE- LACHHMINIYA, DISTRICT- SUPAUL (BIHAR)",Non-Coal Mining,24 Jan 2020,24/01/2020,07/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138625/2020&type=EC&ID=86154
6,SIA/BR/MIN/138332/2020,"Vrindavan (Khasra No. 4668, 4680, 4876, 4783, 4772, 4782, 4779, 4776, 4760, 4761, 4778, 4773, 4777, 4779, 4762, 4380, 4783 ) soil brick mining project.",Non-Coal Mining,23 Jan 2020,23/01/2020,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138332/2020&type=EC&ID=86073
7,SIA/BR/MIS/66584/2021,"Proposed Residential Building “Kashyap Green City, Phase-2” by Kashyap Green Homes Pvt. Ltd.",INFRA-2,11 Aug 2021,11/08/2021,23/08/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/66584/2021&type=EC&ID=190124
8,SIA/BR/MIN/30938/2019,"Maliya Sand Ghat Mining Project of Area 24.5 ha of Lakhisarai District, Bihar on Kiul River",Non-Coal Mining,02 Sep 2019,02/09/2019,,,06/09/2019,,,06/09/2019,17/10/2019,06/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/30938/2019&type=EC&ID=63084
9,SIA/BR/MIN/138815/2020,ORDINAY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA BALHA MANSI KHAGARIA,Non-Coal Mining,03 Feb 2020,03/02/2020,07/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138815/2020&type=EC&ID=86202
