,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
0,SIA/CG/MIN/43867/2019,OL/EC/MIN/RAJNANDGAON/986,Shashikala Gupta,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 08 Feb 2020 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,SHASHIKALA GUPTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/43867/2019&pid=67164
1,SIA/CG/MIN/33966/2015,OL/EC/SandMINE/DURG/207,Basni Sand Mine,Chhattisgarh,Durg,Dhamdha,Date of Submission for EC: 07 Dec 2015 ,Date of Ec Granted : 09 Mar 2016,Non-Coal Mining,SARPANCH BASNI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/33966/2015&pid=3313
2,SIA/CG/MIN/127473/2019,,R Andrew Maniraj Kotni Sand Mine,Chhattisgarh,Durg,Durg,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2019 ,Non-Coal Mining,KOTNI SAND MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/127473/2019&pid=77440
3,SIA/CG/MIN/127754/2019,OL/EC/MIN/RAJANANDGAON/1274,Smt.Aruna Jogewar,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for EC: 21 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,SMT ARUNA JOGEWAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/127754/2019&pid=77483
4,SIA/CG/MIN/142833/2020,OL/EC/MIN/KONDAGAON/1170,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,Chhattisgarh,Kondagaon,No Data,Date of Submission for EC: 06 May 2020 ,Date of Ec Granted : 31 Oct 2020,Non-Coal Mining,SINGANPUR ORDINARY SAND MINE KONDAGAON CG,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/142833/2020&pid=91228
5,SIA/CG/MIN/143295/2020,OL/EC/MIN/RAJNANDGAON/1176,Shivlal Chakradhari Joratarai Limestone Mine,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 20 Mar 2020 ,Date of Ec Granted : 30 Sep 2020,Non-Coal Mining,SHIVLAL CHAKRADHARI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/143295/2020&pid=91324
6,SIA/CG/MIN/56113/2016,,DINESH KUMAR RUPRELA STONE MINE,Chhattisgarh,Kanker,Charama,Date of Submission for TOR: ,Date of Submission for EC: 14 Jun 2016 ,Non-Coal Mining,DINESH KUMAR RUPRELA STONE MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/56113/2016&pid=22288
7,SIA/CG/MIN/41012/2016,OL/EC/SANDMINE/SURAJPUR/312,Kamalpur Sand Mine,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 15 Jan 2016 ,Date of Ec Granted : 28 May 2016,Non-Coal Mining,SARPANCH KAMALPUR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/41012/2016&pid=9846
8,SIA/CG/MIN/216927/2021,OL/EC/MIN/BASTAR/1722,M/s SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG,Chhattisgarh,Bastar,Bastar,Date of Submission for EC: 02 Jul 2021 ,Date of Ec Granted : 28 Sep 2021,Non-Coal Mining,M/S SUNNY STONE CRUSHER LIMESTONE MINE TIKANPAL BASTAR CG  1.50 HA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/216927/2021&pid=188692
9,SIA/CG/MIN/174001/2020,OL/EC/MIN/KJ_CHAMPA/1399,Tanaud sand mine of Pitambar Agrawal,Chhattisgarh,Janjgir - Champa,Pamgarh,Date of Submission for EC: 18 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,TANAUD SAND MINE OF PITAMBAR AGRAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/174001/2020&pid=130593
