,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/AP/MIN/33670/2019,Ordinary Sand Reach of Pasuvullanka,Non-Coal Mining,26 Mar 2019,26/03/2019,,,10/04/2019,,,12/05/2019,,29/06/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/33670/2019&type=EC&ID=54265
1,SIA/AP/IND2/64390/2020,"Proposed Captive Resin Plant with a Production Capacity of 62,287.5 TPA (188.75 TPD) for Manufacturing of High Pressure Laminates, Plain Particle Board, Pre-Laminated Boards and UV Coated Boards (Particle boards, MDF, HPL Sheets & Compact Boards) at Plot No. 19, 19 A & 19 A-1, Industrial Park, Naidupeta, APIIC, Menakuru Village, Naidupeta Mandal, SPSR Nellore District, Andhra Pradesh",Industrial Projects - 2,14 Jul 2021,14/07/2021,,,17/08/2021,,,30/08/2021,18/10/2021,06/01/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/64390/2020&type=EC&ID=188893
2,SIA/AP/MIN/217724/2021,M/s. Chiranjeevi Black Stone Crusher,Non-Coal Mining,01 Jul 2021,01/07/2021,,,27/07/2021,,,08/08/2021,07/10/2021,18/10/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/217724/2021&type=EC&ID=188867
3,SIA/AP/IND2/151499/2020,M/s. Venkata Narayana Active Ingredients Private Limited,Industrial Projects - 2,14 Apr 2020,14/04/2020,,,28/04/2020,,,12/08/2020,,08/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/151499/2020&type=EC&ID=102294
4,SIA/AP/MIN/151565/2020,Vakalagaruvu Sand Reach,Non-Coal Mining,31 May 2020,19/04/2020,23/05/2020,31/05/2020,03/06/2020,,,24/06/2020,20/07/2020,08/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/151565/2020&type=EC&ID=102319
5,SIA/AP/MIS/201089/2021,M/s. Capital Business Park LLP,INFRA-2,21 Mar 2022,02/03/2021,,,26/03/2021,08/08/2021,21/03/2022,23/03/2022,,02/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIS/201089/2021&type=EC&ID=168090
6,SIA/AP/MIN/201123/2021,Y.Mahadevappa,Non-Coal Mining,02 Mar 2021,02/03/2021,,,26/03/2021,,,28/07/2021,20/08/2021,31/08/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/201123/2021&type=EC&ID=168096
7,SIA/AP/MIN/250659/2022,"M/s. ARR & Co.,",Non-Coal Mining,08 Jan 2022,08/01/2022,,,21/01/2022,,,22/01/2022,24/03/2022,24/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/250659/2022&type=EC&ID=197627
8,SIA/AP/MIN/249075/2021,M/s Priyanka Minerals,Non-Coal Mining,31 Dec 2021,31/12/2021,,,12/01/2022,,,22/01/2022,11/03/2022,18/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/249075/2021&type=EC&ID=196176
9,SIA/AP/MIN/271686/2022,M/s. Sri Sai Balaji Granites – Black Granite Quarry,Non-Coal Mining,07 May 2022,07/05/2022,,,10/05/2022,,,22/06/2022,,27/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/271686/2022&type=EC&ID=203056
10,SIA/AP/MIN/261767/2022,C Seetharami Reddy Baryte Mine,Non-Coal Mining,15 Mar 2022,15/03/2022,,,22/03/2022,,,27/03/2022,,24/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/261767/2022&type=EC&ID=200512
11,SIA/AP/MIN/261779/2022,M/s. Diamond Nano Microns Private Limited  – 4.993 Ha,Non-Coal Mining,15 Mar 2022,15/03/2022,,,22/03/2022,,,27/03/2022,14/04/2022,16/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/261779/2022&type=EC&ID=200515
12,SIA/AP/MIN/186035/2020,ADMG-VIJAYAWADA (Peddapulipaka-3 sand reach),Non-Coal Mining,02 Dec 2020,02/12/2020,,,02/03/2021,,,,,19/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/186035/2020&type=EC&ID=145522
13,SIA/AP/MIN/186065/2020,4.680 Ha. of Dharanikota - 7 Sand Reach,Non-Coal Mining,02 Dec 2020,02/12/2020,,,02/03/2021,,,15/03/2021,01/06/2021,18/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/186065/2020&type=EC&ID=145529
14,SIA/AP/MIN/186769/2020,Admg Vijayawada (Lankapalli -5 Sand reach),Non-Coal Mining,05 Dec 2020,05/12/2020,,,03/03/2021,,,,,19/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/186769/2020&type=EC&ID=146691
15,SIA/AP/MIN/43819/2019,SRI S.PRAKASH,Non-Coal Mining,28 Sep 2019,28/09/2019,,,19/10/2019,,,23/10/2019,,18/12/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/43819/2019&type=EC&ID=67134
16,SIA/AP/MIN/158754/2020,Ballipadu Sand Reach,Non-Coal Mining,19 Jun 2020,19/06/2020,,,24/06/2020,,,25/06/2020,20/07/2020,08/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/158754/2020&type=EC&ID=113077
17,SIA/AP/MIN/159407/2020,Buchipeta sand Reach,Non-Coal Mining,21 Jun 2020,21/06/2020,,,24/06/2020,,,25/06/2020,20/07/2020,08/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/159407/2020&type=EC&ID=113144
18,SIA/AP/MIN/33621/2019,Ordinary Sand Mine - Atreyapuram Reach,Non-Coal Mining,25 Mar 2019,25/03/2019,,,10/04/2019,,,12/05/2019,29/09/2019,29/06/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/33621/2019&type=EC&ID=54230
19,SIA/AP/MIN/33789/2019,ASSISTANT DIRECTOR OF MINES AND GEOLOGY SRIKAKULAM,Non-Coal Mining,06 Apr 2022,27/03/2019,,,04/04/2019,,,14/04/2019,05/06/2019,31/05/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/33789/2019&type=EC&ID=54338
