,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/HP/MIN/43832/2019,"“Sand, Stone (Boulder) & Bajri Mining Project”",Non-Coal Mining,10 Oct 2019,10/10/2019,04/10/2019,10/10/2019,18/10/2019,,,04/06/2020,10/07/2021,15/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/43832/2019&type=EC&ID=67141
1,SIA/HP/MIN/140689/2020,“Sand & Stone Mining Project”,Non-Coal Mining,04 Feb 2020,04/02/2020,,,19/02/2020,,,04/06/2020,11/04/2021,03/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/140689/2020&type=EC&ID=86715
2,SIA/HP/MIN/240685/2021,SJVNL_Ropa,Non-Coal Mining,25 Nov 2021,25/11/2021,,,27/11/2021,,,27/11/2021,07/12/2021,27/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/240685/2021&type=EC&ID=193782
3,SIA/HP/MIN/170183/2020,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Sh. Jitender Singh– Mining  Area",Non-Coal Mining,01 Oct 2020,28/08/2020,,,15/09/2020,28/09/2020,01/10/2020,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/170183/2020&type=EC&ID=125600
4,SIA/HP/MIN/171300/2020,Sand Stone and Bajri mining project by sh Rajeev Kumar,Non-Coal Mining,26 Feb 2021,05/09/2020,11/09/2020,07/10/2020,04/11/2020,12/01/2021,26/02/2021,26/02/2021,06/03/2021,31/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/171300/2020&type=EC&ID=126876
5,SIA/HP/MIN/210437/2021,sand stone and bajri mining project by Sh Balbir Singh,Non-Coal Mining,01 Jun 2021,26/04/2021,01/06/2021,01/06/2021,01/06/2021,,,22/06/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/210437/2021&type=EC&ID=183395
6,SIA/HP/IND3/244861/2021,Proposed Setting up a Active Pharmaceutical Ingredient (API) Manufacturing Unit,Industrial Projects - 3,21 Dec 2021,21/12/2021,,,27/12/2021,,,18/07/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/IND3/244861/2021&type=EC&ID=194934
7,SIA/HP/MIN/277472/2022,"Extraction of Sand For Open Sale From Khasra No. 203/70/1 Measuring 13-00 Bighas (Private Land, Hill Slope ) Falling In Mauza Bawasi, Tehsil Arki & Distt. Solan, Himachal Pradesh",Non-Coal Mining,09 Jun 2022,09/06/2022,,,22/06/2022,,,18/07/2022,,21/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/277472/2022&type=EC&ID=204425
8,SIA/HP/MIN/176979/2020,"S/Sh. Surjeet Singh, Sh. Navdesh Passi and Jitender Singh– Mining  Area",Non-Coal Mining,01 Oct 2020,01/10/2020,,,07/10/2020,,,01/12/2020,05/12/2020,29/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/176979/2020&type=EC&ID=136479
9,SIA/HP/MIN/280979/2022,Sh. Rakesh Singh Mining Area,Non-Coal Mining,01 Jul 2022,01/07/2022,,,01/07/2022,,,18/07/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/280979/2022&type=EC&ID=208271
10,SIA/HP/IND2/67828/2021,"M/s Indorama Industries Private Limited located at Plot No. 10, Village- Lodhimajra, Tehsil-Baddi, District-Solan, Himachal Pradesh",Industrial Projects - 2,08 Oct 2021,24/09/2021,,,30/09/2021,08/10/2021,08/10/2021,19/10/2021,07/12/2021,23/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/IND2/67828/2021&type=EC&ID=191523
11,SIA/HP/MIN/250521/2022,"Gagan Sharma, Extraction of stone falling in Khasra no. 54/2, measuring 30-15 Bighas and falling in Mauza Gaderan, Tehsil, Pachhad, Distt. Sirmaur Himachal Pradesh",Non-Coal Mining,19 Jan 2022,19/01/2022,,,21/06/2022,,,18/07/2022,,25/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/250521/2022&type=EC&ID=197581
12,SIA/HP/MIN/180551/2020,"Minor Mineral Lease for extraction of Stone falling in Mauza Raipur, Tehsil & Distt. Solan, Himachal Pradesh by Shri Sushil Kumar Prop. Sharma Stone Provider",Non-Coal Mining,10 Feb 2021,27/10/2020,,,01/12/2020,12/01/2021,10/02/2021,24/02/2021,06/03/2021,31/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/180551/2020&type=EC&ID=141165
13,SIA/HP/MIN/144693/2020,"Hill Slope Mining for Extraction of Sand, Stone and Bajri from Mauza/Mohal Daber/55, Tehsil Sadar, Distt Bilaspur proposed by Sh Jagat Pal S/o Sh Sita Ram",Non-Coal Mining,27 Feb 2020,27/02/2020,,,02/03/2020,,,04/06/2020,10/07/2021,15/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/144693/2020&type=EC&ID=91665
14,SIA/HP/MIN/286876/2022,Sh. Kapil Sharma Mining Area,Non-Coal Mining,14 Oct 2022,03/08/2022,06/10/2022,14/10/2022,15/10/2022,,,13/02/2023,,19/05/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/286876/2022&type=EC&ID=209742
15,SIA/HP/MIN/189104/2020,Hill Slope mining for Extraction of Stone from Mauza/Mohal Lana-Ro proposed by Sh Rajender Singh,Non-Coal Mining,05 May 2021,23/12/2020,24/12/2020,06/01/2021,13/01/2021,04/03/2021,05/05/2021,22/06/2021,17/09/2021,24/09/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HP/MIN/189104/2020&type=EC&ID=149248
