,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/OR/MIN/68119/2020,"Environmental Clearance for Sand Mining(12000 Cum/annum) over Nuapalli Sand Quarry (ML area 19.44 acres or 7.867 ha) in village Nuapalli  under Bhapur Thasil of Nayagarh District,Odisha by Rajesh Kumar Pradhan, At/Po/Ps- Fategarh,Dist-Nayagarh,Odisha",Non-Coal Mining,04 Oct 2021,04/10/2021,,,05/11/2021,,,02/12/2021,22/03/2022,19/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/68119/2020&type=EC&ID=191888
1,SIA/OR/MIN/251975/2022,Deokundi Stone Quarry Over an area of 5.10 Acre or 2.064 Hectares in village Deokundi under Jamda Tahasil of Mayurbhanj District of Odisha.,Non-Coal Mining,18 Jan 2022,18/01/2022,,,28/01/2022,,,22/02/2022,06/03/2022,31/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/251975/2022&type=EC&ID=197999
2,SIA/OR/MIS/252928/2022,"Proposed housing Project for Environment Clearance for (S+11) storied Residential building plan at- Sambalpur Town Unit No.-15, Ainthapali, Thana: Sambalpur No-12, Tahasil: Sambalpur No.- 239, District: Sambalpur, Odisha.",INFRA-2,27 Jan 2022,27/01/2022,,,29/01/2022,,,02/02/2022,,04/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/252928/2022&type=EC&ID=198236
3,SIA/OR/MIN/261229/2022,Proposal for Fresh Environmental Clearance of Chuhapali  II Sand Quarry over an area of 0.50 Acres or 0.202 Ha at village Chuhapali under Paikmal Tahasil of Bargarh district of Odisha of Sri Subhransu Panda,Non-Coal Mining,12 Mar 2022,12/03/2022,19/03/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/261229/2022&type=EC&ID=200389
4,SIA/OR/MIS/234714/2021,"Proposed housing Project for environmental clearance of residential apartment & commercial complex at Mouza -Dadha, Bhubaneswar, Khurda, Odisha-754005.",INFRA-2,26 Nov 2021,30/10/2021,22/11/2021,26/11/2021,01/12/2021,,,14/12/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/234714/2021&type=EC&ID=192381
5,SIA/OR/MIN/255419/2022,"Proposal for grant of EC of TETERKELA SAND BED over an area 11.52 ac or 4.662 hect  in Teterkela village of Biramitrapur tahasil in Sundargarh district, Odisha",Non-Coal Mining,07 Feb 2022,07/02/2022,,,19/02/2022,,,14/03/2022,24/03/2022,03/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/255419/2022&type=EC&ID=198902
6,SIA/OR/MIN/256709/2022,"NEW PROPOSAL FOR GRANT OF EC OF BADAMASINGAM SAND QUARRY OVER 1.30 HA. OR 3.20ACRES  IN VILLAGE BADAMASINGAM UNDER NABARANGPUR  TAHASIL OF NABARANGPUR DISTRICT, ODISHA.",Non-Coal Mining,10 May 2022,15/02/2022,15/03/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/256709/2022&type=EC&ID=199217
7,SIA/OR/MIN/256859/2022,"NARAHARIPUR ROAD METAL QUARRY OVER AN AREA OF 0.92 HECTARES IN VILLAGE NARAHARIPUR UNDER ODAPADA TAHASIL  OF DHENKANAL TAHASIL SUBMITTED UNDER CLUSTER APPROACH  WITH CONSISTING OF 3 STONE QUARRIES , TOTAL CLUSTER AREA  3.242 HECTARES",Non-Coal Mining,16 Feb 2022,16/02/2022,,,19/02/2022,,,14/03/2022,24/03/2022,18/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/256859/2022&type=EC&ID=199244
8,SIA/OR/MIN/272143/2022,Proposal for grant of Environmental Clearance for Gudkhapala Stone Quarry over an area of 3.13 Acres or 1.267 Hectares in village Gudkhapala under Deogaon Tahasil of Balangir district.,Non-Coal Mining,10 May 2022,10/05/2022,,,06/06/2022,,,23/06/2022,,29/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/272143/2022&type=EC&ID=203163
9,SIA/OR/MIN/55644/2007,Dalpahar Iron and Manganese Ore Mine of Shri D.C. Jain,Non-Coal Mining,13 Feb 2021,20/08/2020,,,03/04/2021,,,15/04/2021,02/07/2021,19/08/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/55644/2007&type=EC&ID=124162
10,SIA/OR/MIS/273838/2022,M/s Harshpriya Constructions Pvt. Ltd.,INFRA-2,19 May 2022,19/05/2022,23/05/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/273838/2022&type=EC&ID=203550
11,SIA/OR/MIS/237947/2021,"Proposed housing Project for Environment Clearance for S+5 storied residential apartment buildings at mouza- Nuahata, Cuttack, Dist – Cuttack, Odisha.",INFRA-2,25 Nov 2021,13/11/2021,25/11/2021,25/11/2021,29/11/2021,,,02/12/2021,,04/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/237947/2021&type=EC&ID=193129
12,SIA/OR/MIN/238017/2021,AMBAGUDA MORRUM QUARRY OF TAHASILDAR KALIMELA,Non-Coal Mining,10 Nov 2021,10/11/2021,,,14/11/2021,,,01/01/2022,11/01/2022,01/02/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/238017/2021&type=EC&ID=193141
13,SIA/OR/MIN/227149/2021,Kotagarh Stone Quarry (Plot-1331) over an area of 2.00Acres or 0.809hectares in village Kotagarh of Sunakhala Gram Panchayat Under Ranpur Tahasil of Nayagarh District,Non-Coal Mining,01 Sep 2021,01/09/2021,,,02/11/2021,,,09/11/2021,29/11/2021,18/02/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/227149/2021&type=EC&ID=190677
14,SIA/OR/MIN/252166/2022,Proposal for grant of Environmental Clearance of Baijalpur Stone Quarry-II over an area of 4.00 Acres or 1.618 Hectares in village Baijalpur under Golamunda Tahasil of Kalahandi District.,Non-Coal Mining,01 Feb 2022,18/01/2022,28/01/2022,01/02/2022,06/02/2022,,,22/02/2022,06/03/2022,17/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/252166/2022&type=EC&ID=198040
15,SIA/OR/MIN/59702/2021,"Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",Non-Coal Mining,22 Jan 2022,22/01/2022,,,29/01/2022,,,03/02/2022,04/04/2022,02/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/59702/2021&type=EC&ID=198191
16,SIA/OR/MIN/266302/2022,"For the grant of EC of Bichhakhandi Black Stone quarry No-4(Cluster Serial No-4D/13), (Khata No-822, Plot No-2338) over an area of 6.25 acres or 2.529 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha",Non-Coal Mining,06 Apr 2022,06/04/2022,,,06/05/2022,,,10/05/2022,,02/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/266302/2022&type=EC&ID=201782
17,SIA/OR/MIN/269769/2022,Tarinipalli-I Stone Quarry over an area of 3.00 Acres or 1.214 Hectares in Village- Tarinipalli under Ganjam Tahasil of Ganjam District of Odisha,Non-Coal Mining,05 Jul 2022,27/04/2022,22/05/2022,05/07/2022,06/07/2022,,,22/07/2022,,17/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/269769/2022&type=EC&ID=202583
18,SIA/OR/MIN/238966/2021,Keutaguda Morrum Quarry over an area of 2.00 Acres or 0.809 Hectares in Village- Keutaguda under Kolnara Tahasil of Rayagada District of Odisha,Non-Coal Mining,24 Jul 2022,19/07/2022,22/07/2022,24/07/2022,02/08/2022,,,17/08/2022,,05/11/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/238966/2021&type=EC&ID=193399
19,SIA/OR/MIN/257433/2022,"Bichhakhandi Black stone quarry No -11 over 7.50 acres or 3.035 hect. in village Bichhakhandi under Dharmasala Tahasil of jajpur dist, odisha.",Non-Coal Mining,19 Feb 2022,19/02/2022,,,28/02/2022,,,31/03/2022,04/04/2022,06/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/257433/2022&type=EC&ID=199387
20,SIA/OR/MIN/237808/2021,KUSMEL SAND QUARRY OF SATYAKAM SINGH,Non-Coal Mining,09 Nov 2021,09/11/2021,,,14/11/2021,,,01/01/2022,06/03/2022,19/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/237808/2021&type=EC&ID=193093
21,SIA/OR/MIN/236890/2021,Fasad Sand Quarry,Non-Coal Mining,12 Nov 2021,01/11/2021,14/11/2021,12/11/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/236890/2021&type=EC&ID=192865
22,SIA/OR/MIN/258199/2022,DANKARI BLACK STONE QUARRY NO 712 OVER 12.50 ACRES OR 5.058 HECT IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.,Non-Coal Mining,05 Mar 2022,28/02/2022,01/03/2022,05/03/2022,17/03/2022,,,29/03/2022,04/04/2022,06/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/258199/2022&type=EC&ID=199585
23,SIA/OR/MIN/257165/2022,SARGUNAMUNDA SAND BED-A OVER AN AREA OF 10.00 ACRES OR 4.048  HECTARES IN VILLAGE SARGUNAMUNDA UNDER TITTLAGARH TAHASIL IN BOLANGIR DISTRICT ODISHA,Non-Coal Mining,21 Mar 2022,21/02/2022,16/03/2022,21/03/2022,05/04/2022,,,13/05/2022,,03/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/257165/2022&type=EC&ID=199330
24,SIA/OR/MIN/272186/2022,"Banamaliguda Sand Bed over an area of 1.00 Acers or 0.404 Hectares having Khata No. 209 & 272, Plot No. 1154 & 562/998 in the village Banamaliguda, Tahasil Kodinga in District Nabarangpur, State Odisha.",Non-Coal Mining,10 May 2022,10/05/2022,,,06/06/2022,,,23/06/2022,,29/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/272186/2022&type=EC&ID=203174
25,SIA/OR/MIN/243028/2021,MANTRAJHOLLA- VII STONE QUARRY,Non-Coal Mining,04 Dec 2021,04/12/2021,08/12/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/243028/2021&type=EC&ID=194346
26,SIA/OR/MIS/239148/2021,"Environment Clearance of Proposed Bagchi-Sri Shankara Cancer Centre And Research Centre Building Of M/S Shankara Cancer Foundation In Mouza- Chandihata, Jatani, Dist- Khurda, Odisha",INFRA-2,24 Nov 2021,16/11/2021,23/11/2021,24/11/2021,25/11/2021,,,26/11/2021,28/12/2021,06/01/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIS/239148/2021&type=EC&ID=193431
27,SIA/OR/MIN/244128/2021,AMBAPADA SAND QUARRY- II,Non-Coal Mining,17 Jan 2022,10/12/2021,13/12/2021,17/01/2022,28/01/2022,,,22/02/2022,06/03/2022,26/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/244128/2021&type=EC&ID=194726
