,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/PB/MIS/154129/2020,"Group Housing Project namely “Gold Homes” located at Sector-116, Village Sante Majra, Kharar-Landran Road, Distt. SAS Nagar (Mohali), Punjab by M/s Shubham Builders",INFRA-2,24 Sep 2020,23/05/2020,27/08/2020,24/09/2020,19/10/2020,,,20/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/154129/2020&type=EC&ID=105999
1,SIA/PB/IND3/246448/2021,"M/s Akums Life Sciences Ltd. at Free Enterprise Zone in Village Sundran, Mubarakpur, Derabassi, Punjab, India",Industrial Projects - 3,10 Mar 2022,23/12/2021,29/12/2021,28/01/2022,02/02/2022,15/02/2022,10/03/2022,25/03/2022,01/04/2022,25/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND3/246448/2021&type=EC&ID=195372
2,SIA/PB/MIN/179934/2020,Sand Mine Project at Village Midda Haji Area 3.47 ha,Non-Coal Mining,21 Oct 2020,21/10/2020,,,22/10/2020,,,22/10/2020,29/10/2020,05/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/179934/2020&type=EC&ID=139065
3,SIA/PB/MIN/178165/2020,Kale ke hittar Sand mining Project,Non-Coal Mining,08 Oct 2020,08/10/2020,16/10/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/178165/2020&type=EC&ID=137686
4,SIA/PB/IND2/206078/2021,"Proposed Expansion of API And Intermediate Bulk Drug Manufacturing Unit  namely ""M/S Saurav Chemicals Limited"" at Village- Baghwanpura, Derabassi-Barwala Road, Derabassi, Distt. Sahibzada Ajit Singh Nagar, Punjab",Industrial Projects - 2,26 Mar 2021,26/03/2021,,,27/03/2021,,,27/03/2021,12/04/2021,07/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND2/206078/2021&type=EC&ID=175317
5,SIA/PB/MIS/270264/2022,"Proposed construction of multistory office building for Punjab State Office, Senior Management Centre/Transit Camp building",INFRA-2,01 Feb 2023,18/05/2022,26/05/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/270264/2022&type=EC&ID=202699
6,SIA/PB/IND/37379/2018,M/s Renny Strips Pvt. Ltd. (Furnace Division),Industrial Projects - 1,01 Nov 2019,01/11/2019,25/09/2019,01/11/2019,20/12/2019,,,24/12/2019,28/01/2020,20/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/IND/37379/2018&type=EC&ID=56416
7,SIA/PB/MIN/34406/2017,Rana-2 sand Mining Project,Non-Coal Mining,15 Apr 2019,15/04/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIN/34406/2017&type=EC&ID=54630
8,SIA/PB/MIS/250845/2022,"The Commercial Project namely “Mohali Citi Centre” (9.78 acres) Block F, Aero City, SAS Nagar, Mohali, (Punjab) by KLG Infra.",INFRA-2,02 Feb 2022,11/01/2022,,,14/01/2022,31/01/2022,02/02/2022,07/02/2022,14/02/2022,02/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/250845/2022&type=EC&ID=197674
9,SIA/PB/MIS/271700/2022,Residential Group Housing Project by Suman Divine Homes at Village Ramgarh Bhudda Tehsil Dera Bassi District SAS Nagar Punjab,INFRA-2,13 May 2022,07/05/2022,10/05/2022,13/05/2022,13/05/2022,,,25/05/2022,,16/07/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/PB/MIS/271700/2022&type=EC&ID=203058
