,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/UP/MIS/103007/2019,windsor It Park by M/s Star Propwell Pvt. Ltd,INFRA-2,25 Apr 2019,25/04/2019,,,03/05/2019,,,17/05/2019,17/09/2019,22/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/103007/2019&type=EC&ID=55014
1,SIA/UP/MIN/26254/2018,Kuti to Devaipipar sand mining project,Non-Coal Mining,25 Apr 2019,25/04/2019,,,13/06/2019,,,02/07/2019,20/07/2019,02/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/26254/2018&type=EC&ID=55141
2,SIA/UP/MIN/189756/2020,Building Stone - Granite (Gitti/Boulders) Mining Project,Non-Coal Mining,08 Jun 2021,24/12/2020,28/12/2020,08/06/2021,22/06/2021,,,28/06/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/189756/2020&type=EC&ID=152406
3,SIA/UP/MIN/135888/2020,"Soi (Gata/Khasra No. 614, 520, 518, 616, 615, 617 & 602)  brick earth (Soil) mining project.",Non-Coal Mining,08 Jan 2020,08/01/2020,13/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135888/2020&type=EC&ID=85462
4,SIA/UP/MIN/135948/2020,"Brick Earth Mining Project, M/S Jai Bala Ji Brick Field",Non-Coal Mining,17 Jan 2020,09/01/2020,15/01/2020,17/01/2020,17/01/2020,,,20/01/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135948/2020&type=EC&ID=85479
5,SIA/UP/MIN/135708/2020,"Bikamau Khurd, Digurpur, Parsau, Mishripur, Ginnohari & Sonwa (Gata No. 38, 274, 312, 210, 260, 263, 264, 633, 376, 725, 149K, 146, 115, 72 & 241) soil brick mining project.",Non-Coal Mining,08 Jan 2020,08/01/2020,13/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135708/2020&type=EC&ID=84423
6,SIA/UP/MIS/49644/2019,"Group Housing Project (PMAY) ""Migsun Atharva Phase-I""",INFRA-2,22 Jan 2020,10/01/2020,15/01/2020,22/01/2020,24/01/2020,,,03/02/2020,08/06/2020,29/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/49644/2019&type=EC&ID=85519
7,SIA/UP/MIN/136810/2020,TIRANGA ENT BHATTHA,Non-Coal Mining,14 Jan 2020,14/01/2020,17/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/136810/2020&type=EC&ID=85720
8,SIA/UP/MIN/53643/2019,"“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-05, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)",Non-Coal Mining,05 Jun 2020,05/06/2020,,,10/06/2020,,,17/06/2020,10/08/2020,03/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/53643/2019&type=EC&ID=111589
9,SIA/UP/MIN/53648/2019,"“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-02, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)",Non-Coal Mining,05 Jun 2020,05/06/2020,,,10/06/2020,,,17/06/2020,10/08/2020,03/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/53648/2019&type=EC&ID=111597
