,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/UK/MIN/46343/2019,M/S BADRISH SWAYATT SAHKARITA SAMITI,Non-Coal Mining,12 Nov 2019,12/11/2019,,,10/12/2019,,,13/12/2019,22/01/2020,03/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/46343/2019&type=EC&ID=71848
1,SIA/UK/MIS/120412/2019,M/S KUMAD PHARMA,INFRA-2,04 Oct 2019,04/10/2019,,,11/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/120412/2019&type=EC&ID=68368
2,SIA/UK/MIN/126465/2019,Nagrasu RBM Project,Non-Coal Mining,21 Nov 2019,21/11/2019,,,07/12/2019,,,12/12/2019,22/01/2020,14/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/126465/2019&type=EC&ID=74219
3,SIA/UK/MIN/51716/2018,Kholiyagoan Soapstone Mine,Non-Coal Mining,29 Feb 2020,29/02/2020,,,08/05/2020,,,26/05/2020,14/09/2020,09/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/51716/2018&type=EC&ID=94954
4,SIA/UK/MIN/58696/2020,"Sand/Bajri/Boulder at Khasra No- 657/3 Village - Banjarewala Grant, Tehsil- Bhagwanpur, District- Haridwar (Area- 15.0 ha))",Non-Coal Mining,30 Nov 2020,30/11/2020,,,03/12/2020,,,07/12/2020,23/12/2020,12/08/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/58696/2020&type=EC&ID=145411
5,SIA/UK/NCP/37740/2014,"Environmental Clearance for replacing existing DG set of higher capacity (1010 KVA x 03 Nos.) by M/s Flex Foods Limited at Lal Tappar Industrial Area, P.O. Resham Majri, Haridwar Road, Dehradun",INFRA-1,28 Sep 2019,28/09/2019,27/09/2019,28/09/2019,30/09/2019,,,,,06/12/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/37740/2014&type=EC&ID=56649
6,SIA/UK/IND2/192986/2021,Proposed Craft Beer Fermentation Unit,Industrial Projects - 2,13 Jan 2021,13/01/2021,,,18/01/2021,,,25/01/2021,20/02/2021,12/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/192986/2021&type=EC&ID=160054
7,SIA/UK/MIN/167167/2020,Saroda RBM Project,Non-Coal Mining,02 Jan 2021,08/08/2020,14/08/2020,02/01/2021,22/01/2021,,,25/01/2021,20/02/2021,19/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/167167/2020&type=EC&ID=121926
8,SIA/UK/IND2/58902/2009,Environmental Impact Assessment Report for proposed enhancement of production Capacity of PET Chips from 57600.00 MT/Annum to 69600.00 MT/Annum through modification and modernization by M/s Polyplex Corporation Ltd.,Industrial Projects - 2,06 Dec 2020,06/12/2020,,,18/01/2021,,,25/01/2021,20/02/2021,19/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/58902/2009&type=EC&ID=146664
9,SIA/UK/IND3/235368/2021,"M/s  Forbes Aquatech  Limited  at Khasra No 3946, 3947, 3961, 3962  Lal Tappar,  Mazari Grant, Tehsil Rishikesh, Distt.-Dehradun, Uttarakhand -248140",Industrial Projects - 3,27 Oct 2021,27/10/2021,,,28/10/2021,,,02/11/2021,10/11/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/235368/2021&type=EC&ID=192529
10,SIA/UK/NCP/97287/2019,"Amendment in Environmental Clearance for proposed manufacturing of Pharmaceutical Formulation Products along with Utilities viz. LPG based Boilers & green insulated DG Set by M/s Sharon Bio-Medicine Limited at Khasra No. 1027/28/30/37, Central Hope T",INFRA-1,26 Feb 2019,26/02/2019,,,22/05/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/97287/2019&type=EC&ID=53378
