,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/GJ/NCP/51116/2016,"AMC EWS Housing Project, 
F.P. No.223, T.P.S. NO.113 VASTRAL, AHMEDABAD-382 418
",INFRA-1,05 Mar 2016,05/03/2016,,,05/03/2016,,,08/03/2016,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/51116/2016&type=EC&ID=14882
1,SIA/GJ/MIN/34325/2015,Kadarkhan abdulshakur Pathan,Non-Coal Mining,12 Dec 2015,12/12/2015,,,14/12/2015,,,17/12/2015,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34325/2015&type=EC&ID=3734
2,SIA/GJ/MIN/34359/2015,sand mine of vijaybhai panchabhai bharai,Non-Coal Mining,30 Dec 2015,30/12/2015,02/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34359/2015&type=EC&ID=3763
3,SIA/GJ/MIN/34421/2015,Bipin Dhirajlal Chande,Non-Coal Mining,13 Dec 2015,13/12/2015,,,15/12/2015,,,17/12/2015,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34421/2015&type=EC&ID=3824
4,SIA/GJ/MIN/48165/2016,NARANBHAI MELABHAI OAD,Non-Coal Mining,06 Feb 2016,06/02/2016,09/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48165/2016&type=EC&ID=12001
5,SIA/GJ/MIN/48184/2016,MENSHIBHAI NARANBHAI JOGAL,Non-Coal Mining,06 Feb 2016,06/02/2016,09/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48184/2016&type=EC&ID=12021
6,SIA/GJ/MIN/1842/2015,Building Lime Stone Project of Malsinh Udesinh Chauhan,Non-Coal Mining,05 Sep 2015,05/09/2015,,,,,,,24/11/2015,30/11/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/1842/2015&type=EC&ID=3477
7,SIA/GJ/IND2/34668/2019,M/s. Kemz Resibond Pvt. Ltd,Industrial Projects - 2,06 Oct 2021,18/08/2021,,,29/08/2021,16/09/2021,06/10/2021,07/10/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/34668/2019&type=EC&ID=190213
8,SIA/GJ/MIN/30613/2015,,Non-Coal Mining,24 Dec 2015,24/12/2015,28/12/2015,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/30613/2015&type=EC&ID=731
9,SIA/GJ/MIN/59172/2016,Purbai Velji Patel,Non-Coal Mining,21 Sep 2016,21/09/2016,26/09/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59172/2016&type=EC&ID=31749
10,SIA/GJ/MIS/146261/2020,Kansas Devasya,INFRA-2,03 Mar 2020,03/03/2020,,,03/03/2020,,,05/03/2020,07/07/2021,02/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/146261/2020&type=EC&ID=94963
11,SIA/GJ/MIS/118742/2019,Warehouse,INFRA-2,06 Jan 2020,06/01/2020,05/10/2019,14/10/2019,14/10/2019,01/11/2019,06/01/2020,10/01/2020,09/06/2020,16/12/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/118742/2019&type=EC&ID=64850
12,SIA/GJ/IND2/36415/2005,M/s. A-One Chemicals,Industrial Projects - 2,02 Oct 2019,02/10/2019,09/10/2019,02/10/2019,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/36415/2005&type=EC&ID=55779
13,SIA/GJ/MIN/38588/2019,V C MODHWADIA,Non-Coal Mining,03 Jul 2019,03/07/2019,18/07/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38588/2019&type=EC&ID=57136
14,SIA/GJ/IND2/176323/2020,M/s. Nirav Corporation,Industrial Projects - 2,29 Sep 2020,29/09/2020,,,29/09/2020,,,10/11/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176323/2020&type=EC&ID=135288
15,SIA/GJ/MIS/56971/2016,Kheemji kalyanjibhai,INFRA-2,02 Jul 2016,02/07/2016,04/07/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/56971/2016&type=EC&ID=23073
16,SIA/GJ/MIN/36390/2015,Gopal Rupa Gangal,Non-Coal Mining,28 Dec 2015,28/12/2015,,,30/12/2015,,,06/01/2016,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/36390/2015&type=EC&ID=5560
17,SIA/GJ/MIS/31518/2017,PRATHAM RIVIERA,INFRA-2,19 Dec 2019,19/12/2019,16/03/2019,12/03/2019,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/31518/2017&type=EC&ID=53117
18,SIA/GJ/MIN/38783/2016,virendrabhai lakhubhai gadhvi,Non-Coal Mining,08 Jan 2016,08/01/2016,,,08/01/2016,,,11/01/2016,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38783/2016&type=EC&ID=7826
19,SIA/GJ/MIN/58495/2016,Pravinbhai Mahijibhai Oad,Non-Coal Mining,15 Oct 2016,15/10/2016,17/10/2016,15/10/2016,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58495/2016&type=EC&ID=24478
20,SIA/GJ/NCP/62572/2017,Shilpan Icon,INFRA-1,16 Feb 2017,16/02/2017,,,17/02/2017,,,20/02/2017,27/04/2017,30/04/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/62572/2017&type=EC&ID=34188
21,SIA/GJ/MIN/42597/2016,"Black Trap Mine, S.NO. 129",Non-Coal Mining,29 Jan 2016,29/01/2016,30/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42597/2016&type=EC&ID=11326
22,SIA/GJ/MIN/42623/2016,"Black Trap Mine, S.NO. 100 Paiki",Non-Coal Mining,29 Jan 2016,29/01/2016,30/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42623/2016&type=EC&ID=11350
23,SIA/GJ/MIN/42733/2016,"Blact Trap Mine, S.NO. 23P",Non-Coal Mining,30 Jan 2016,30/01/2016,01/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42733/2016&type=EC&ID=11450
24,SIA/GJ/IND2/2187/2015,Megafine Specialty Chemicals Pvt. Ltd.,Industrial Projects - 2,26 Nov 2018,26/11/2018,,,,,,,,04/02/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/2187/2015&type=EC&ID=47827
25,SIA/GJ/IND2/36369/2019,Galaxy Chemi Science,Industrial Projects - 2,20 May 2019,20/05/2019,,,28/05/2019,,,28/05/2019,07/09/2019,06/04/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/36369/2019&type=EC&ID=55749
26,SIA/GJ/NCP/58387/2016,Times Luxuria,INFRA-1,12 Aug 2016,12/08/2016,,,16/08/2016,22/08/2016,22/08/2016,01/09/2016,,30/04/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/58387/2016&type=EC&ID=24362
27,SIA/GJ/MIN/58423/2016,AT:DUNGRA TA:PARDI DI:VALSAD SR.NO:165 OPP DAMANGANGA RIVER BED 1.00.00 HA.BLACKTRAP,Non-Coal Mining,15 Aug 2016,15/08/2016,16/08/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58423/2016&type=EC&ID=24395
28,SIA/GJ/MIN/58452/2016,Mining of River Bed Sand from lease of Alpeshkumar Babubhai Panchal (Kothali),Non-Coal Mining,26 Aug 2016,26/08/2016,24/08/2016,26/08/2016,26/08/2016,29/08/2016,02/09/2016,02/09/2016,15/10/2016,29/10/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58452/2016&type=EC&ID=24423
29,SIA/GJ/MIN/63778/2017,"Bentonite Mining lease of KUTCH ASHAPURA KHANIJ VIKAS INDUSTRY , PROPRIETOR :ALPABEN PRAVINGIRI GOSWAMI. ",Non-Coal Mining,06 Apr 2017,06/04/2017,,,10/04/2017,,,13/04/2017,30/04/2017,30/04/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/63778/2017&type=EC&ID=34852
30,SIA/GJ/MIN/41873/2016,HINDUSTAN MINERAL,Non-Coal Mining,20 Jan 2016,20/01/2016,27/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41873/2016&type=EC&ID=10636
31,SIA/GJ/MIN/41901/2016,Viram Kaara Rabari,Non-Coal Mining,20 Jan 2016,20/01/2016,27/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41901/2016&type=EC&ID=10664
32,SIA/GJ/MIN/41902/2016,Narnarayan Minerals (Ramesh Naran Vekariya),Non-Coal Mining,20 Jan 2016,20/01/2016,27/01/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41902/2016&type=EC&ID=10665
33,SIA/GJ/NCP/75633/2018,Commercial Project,INFRA-1,29 Jun 2018,29/06/2018,,,10/07/2018,,,13/07/2018,06/10/2018,05/10/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75633/2018&type=EC&ID=44694
34,SIA/GJ/NCP/75687/2018,R-ALTEZZA,INFRA-1,14 Sep 2018,14/09/2018,14/09/2018,14/09/2018,21/09/2018,,,28/09/2018,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75687/2018&type=EC&ID=44719
35,SIA/GJ/MIN/52638/2016,bl limestone of malde arshibhai bapodara 1.03.19 h,Non-Coal Mining,08 Apr 2016,08/04/2016,11/04/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52638/2016&type=EC&ID=17200
36,SIA/GJ/MIN/49941/2016,Kalyanbhai Bhagubhai Bhoi,Non-Coal Mining,18 Feb 2016,18/02/2016,23/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49941/2016&type=EC&ID=13823
37,SIA/GJ/MIN/49951/2016,Divyeshkumar Ashokbhai Patel,Non-Coal Mining,18 Feb 2016,18/02/2016,23/02/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49951/2016&type=EC&ID=13833
38,SIA/GJ/IND2/167610/2020,NARMADA ORGANICS,Industrial Projects - 2,12 Aug 2020,12/08/2020,,,19/08/2020,,,21/09/2020,14/03/2021,10/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/167610/2020&type=EC&ID=123033
39,SIA/GJ/MIN/32404/1900,Hanubha Natubha Chudasama,Non-Coal Mining,06 Mar 2019,06/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/32404/1900&type=EC&ID=53628
40,SIA/GJ/IND2/20658/2006,M/s Mangalam Drug and Organics Limited (Unit-I),Industrial Projects - 2,01 May 2019,01/05/2019,30/04/2019,01/05/2019,12/05/2019,,,13/05/2019,09/09/2019,12/06/2007,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20658/2006&type=EC&ID=54664
