,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/HR/MIS/103921/2019,Affordable Residential Plotted Colony (Site 3),INFRA-2,30 Apr 2019,30/04/2019,,,30/04/2019,03/05/2019,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/103921/2019&type=EC&ID=55269
1,SIA/HR/MIS/219795/2021,"Proposed Affordable Group Housing Colony village- Badha & Sikanderpur Badha, Sector-85, Gurugram, Haryana by M/s Conmin Projects India Pvt. Ltd.",INFRA-2,13 Jul 2021,13/07/2021,,,30/07/2021,,,03/08/2021,01/12/2021,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/219795/2021&type=EC&ID=189221
2,SIA/HR/MIS/196647/2021,Expansion of Affordable Group Housing,INFRA-2,05 Feb 2021,05/02/2021,,,05/02/2021,,,05/02/2021,03/05/2021,13/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/196647/2021&type=EC&ID=162944
3,SIA/HR/MIS/220395/2021,"Construction of “Independent Floors” at DLF Alameda at Village- Behrampur & Begampur Khatola, Sector-73, Gurugram, Haryana by M/s DLF Home Developers Ltd. & Others.",INFRA-2,16 Jul 2021,16/07/2021,,,03/08/2021,,,04/08/2021,07/09/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/220395/2021&type=EC&ID=189306
4,SIA/HR/IND2/63957/2019,Establish of new 5000 TCD sugar mill plant,Industrial Projects - 2,19 Jun 2021,19/06/2021,,,30/06/2021,,,19/07/2021,21/01/2022,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/IND2/63957/2019&type=EC&ID=188426
5,SIA/HR/MIS/112219/2019,Sh. Hemant Kumar & Others,INFRA-2,25 Jul 2019,25/07/2019,,,26/07/2019,,,30/07/2019,,26/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/112219/2019&type=EC&ID=58727
6,SIA/HR/MIS/34106/2011,NAYATI HEALTHCARE AND RESEARCH NCR PVT LTD,INFRA-2,13 May 2019,13/05/2019,,,20/05/2019,,,22/05/2019,08/12/2020,04/06/2010,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/34106/2011&type=EC&ID=54490
7,SIA/HR/MIS/34510/2018,Development of Integrated Multi Modal Logistic Hub (IMLH),INFRA-2,23 Apr 2019,23/04/2019,23/04/2019,23/04/2019,23/04/2019,,,03/05/2019,14/12/2021,11/09/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/34510/2018&type=EC&ID=54672
8,SIA/HR/MIS/52095/2019,upgradation of existing CETP from 5 MLD to 10 MLD,INFRA-2,24 Jul 2020,24/07/2020,,,07/08/2020,,,15/09/2020,10/11/2020,01/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/52095/2019&type=EC&ID=95275
9,SIA/HR/IND2/59655/2005,"PROPOSED MANUFACTURING UNIT OF 250 M.T PER DAY FORMALDEHYDE AT PLOT NO. 132, SEC-1, PHASE-I, GROWTH CENTRE SAHA (APPROVED INDUSTRIAL AREA), AMBALA, HARYANA BY M/S SHYAM INDUSTRIES",Industrial Projects - 2,06 Jan 2021,06/01/2021,,,12/01/2021,,,05/02/2021,08/03/2021,13/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/IND2/59655/2005&type=EC&ID=156800
10,SIA/HR/MIS/279545/2022,"Proposed Commercial complex on land admeasuring 14326.37 sqm situated at site / building no.4, Sector 43, urban Estate Gurgaon II, Gurugram, Haryana",INFRA-2,22 Jun 2022,22/06/2022,,,24/06/2022,,,25/06/2022,,13/10/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/279545/2022&type=EC&ID=207932
11,SIA/HR/MIS/283695/2022,Commercial Colony in Sector-89 Gurugram,INFRA-2,16 Jul 2022,16/07/2022,,,18/07/2022,,,02/08/2022,,05/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/283695/2022&type=EC&ID=208931
12,SIA/HR/MIS/36161/2018,"Expansion of “Warehouse for storage of Non-agro produce” at Village Farrukhnagar, Distt. Gurugram and Village Khalikpur, Distt. Jhajjar, Haryana by Farukhnagar Logistics Parks LLP.",INFRA-2,15 May 2019,15/05/2019,,,20/05/2019,,,22/05/2019,25/02/2020,14/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/36161/2018&type=EC&ID=55634
13,SIA/HR/MIS/116969/2019,Revision & Expansion of Warehouse and Logistics Park,INFRA-2,03 Oct 2019,03/10/2019,,,13/09/2019,01/10/2019,03/10/2019,11/10/2019,,03/06/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/116969/2019&type=EC&ID=63216
14,SIA/HR/MIS/163860/2020,"Warehouse / Industrial & Logistics Park Project (33.631 Acres) Located At Revenue Estate Of Village – Luhari,  Tehsil & District – Jhajjar, Haryana by LI INDUSTRIAL PARKS PRIVATE LIMITED",INFRA-2,17 Jul 2020,17/07/2020,,,27/07/2020,,,28/07/2020,21/08/2020,16/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/163860/2020&type=EC&ID=116207
15,SIA/HR/MIS/43755/2018,Expansion of Group Housing Colony,INFRA-2,27 Sep 2019,27/09/2019,,,10/10/2019,,,11/10/2019,08/12/2020,30/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/43755/2018&type=EC&ID=67094
16,SIA/HR/MIS/220406/2021,"Commercial Project at Village-Dhunela, Sector-36, Sohna, Gurugram, Haryana",INFRA-2,16 Jul 2021,16/07/2021,,,03/08/2021,,,04/08/2021,07/09/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/220406/2021&type=EC&ID=189309
17,SIA/HR/MIS/61593/2021,"PROPOSED DEVELOPMENT OF INTEGRATED RESIDENTIAL TOWNSHIP IN THE NAME OF ARDEE CITY (133.40 ACRES ALREADY DEVELOPED + 71.458 ACRES PROPOSED) AT SECTOR 52 AND SECTOR 57, GURUGRAM",INFRA-2,17 Jul 2021,17/07/2021,,,03/08/2021,,,04/08/2021,07/09/2021,06/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/61593/2021&type=EC&ID=189335
18,SIA/HR/MIS/109932/2019,"Expansion Of Affordable Group Housing Project On 12.475 Acres Plot At Sector: 78 Faridabad, Haryana",INFRA-2,15 Oct 2019,15/10/2019,14/10/2019,15/10/2019,22/10/2019,,,04/11/2019,,12/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/HR/MIS/109932/2019&type=EC&ID=57144
