,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/KA/MIN/270226/2022,Building Stone Quarry,Non-Coal Mining,01 Jun 2022,29/04/2022,04/05/2022,05/05/2022,09/05/2022,31/05/2022,01/06/2022,03/06/2022,,12/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/270226/2022&type=EC&ID=202692
1,SIA/KA/MIN/195174/2021,Building Stone Quarry,Non-Coal Mining,30 Jan 2021,30/01/2021,,,05/02/2021,,,27/07/2021,,08/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/195174/2021&type=EC&ID=161584
2,SIA/KA/MIN/53166/2016,Hebbal Dolomite and Limestone Mine,Non-Coal Mining,25 Apr 2016,25/04/2016,,,28/04/2016,,,17/05/2016,12/07/2016,03/08/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/53166/2016&type=EC&ID=19613
3,SIA/KA/MIN/36655/2015,"“Building Stone Quarry” of 
V M Vijay at Sy No: 36/3(P), 
Yalakanur Village, Somwarpet Taluk, Kodagu District, Karnataka. Extent: 1-00 Acres",Non-Coal Mining,29 Dec 2015,29/12/2015,,,30/12/2015,,,01/01/2016,05/04/2016,26/04/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/36655/2015&type=EC&ID=5802
4,SIA/KA/MIN/36669/2015,"“Building Stone Quarry” of V M Vijay over an extent of 2-20 Acres at Sy No: 36/8(P), Yalakanuru Village, Somwarpet Taluk, Kodagu District, Karnataka",Non-Coal Mining,29 Dec 2015,29/12/2015,,,30/12/2015,,,01/01/2016,05/04/2016,26/04/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/36669/2015&type=EC&ID=5815
5,SIA/KA/MIS/165063/2020,M/s. Janaadhar South1 Projects LLP,INFRA-2,24 Jul 2020,24/07/2020,,,17/12/2020,,,,,04/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/165063/2020&type=EC&ID=117492
6,SIA/KA/MIN/32973/2015,"“Building Stone Quarry” over an extent of 1-00 Acres at Sy No: 105/4A, Yamagarni Village, Chikkodi Taluk, Belgaum District, Karnataka.",Non-Coal Mining,19 Nov 2015,19/11/2015,,,20/11/2015,,,27/11/2015,05/01/2016,27/01/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/32973/2015&type=EC&ID=2388
7,SIA/KA/MIN/2773/2015,"“Building Stone Quarry” of  P.S. Anthony Sy No: 06, Yeduru Village,  Mudigere Taluk,  Chikkamagaluru District,  Karnataka",Non-Coal Mining,03 Oct 2015,03/10/2015,,,06/10/2015,,,07/10/2015,28/11/2015,11/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2773/2015&type=EC&ID=24841
8,SIA/KA/MIN/2664/2015,Building Stone Quarry,Non-Coal Mining,01 Oct 2015,01/10/2015,,,03/10/2015,,,07/10/2015,11/03/2016,28/03/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2664/2015&type=EC&ID=24864
9,SIA/KA/MIN/2408/2015,"“Building Stone Quarry” of  M/s. Archean Granites Private Ltd at Beeranakoppa Village, BangarpetTaluk, Kolar District,",Non-Coal Mining,01 Oct 2015,01/10/2015,,,,,,,,02/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2408/2015&type=EC&ID=24871
10,SIA/KA/MIN/1858/2015,"“Building Stone Quarry” of  K.S.Ashwathanarayana Gowda at  Sy No: 9,  Bandihalli Village, Hassan Taluk, Hassan District, Karnataka.",Non-Coal Mining,07 Sep 2015,07/09/2015,,,08/09/2015,,,09/09/2015,06/11/2015,03/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/1858/2015&type=EC&ID=25119
11,SIA/KA/MIN/1731/2015,"“Building Stone Quarry” of  Sri. Pandu Appu Tarale at Sy No. 80/6 (P) of Ambewadi Village, Belagavi Taluk, Belagavi District, Karnataka",Non-Coal Mining,02 Sep 2015,02/09/2015,,,03/09/2015,,,09/09/2015,30/10/2015,16/11/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/1731/2015&type=EC&ID=25145
