,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/KL/MIN/164222/2020,"Mr N S Ganesh,Managing Partner ,M/s ESSGEE Trading and infrastructure",Non-Coal Mining,21 Aug 2020,18/07/2020,29/07/2020,21/08/2020,04/09/2020,,,06/03/2021,,11/10/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164222/2020&type=EC&ID=116306
1,SIA/KL/MIN/271891/2022,Serene Scaria,Non-Coal Mining,04 Jun 2022,10/05/2022,,,18/05/2022,19/05/2022,04/06/2022,02/08/2022,,19/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/271891/2022&type=EC&ID=203089
2,SIA/KL/MIN/272116/2022,Proposed building stone quarry of Mr Yespal,Non-Coal Mining,10 May 2022,10/05/2022,,,16/05/2022,,,18/05/2022,,02/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/272116/2022&type=EC&ID=203153
3,SIA/KL/MIN/164458/2020,Vijayan Pallickal,Non-Coal Mining,16 Nov 2020,22/07/2020,26/07/2020,16/11/2020,14/12/2020,,,28/05/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164458/2020&type=EC&ID=116366
4,SIA/KL/MIN/164464/2020,Mr Jobin C Raju,Non-Coal Mining,09 Sep 2020,21/07/2020,29/07/2020,09/09/2020,24/09/2020,,,08/03/2021,,11/10/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/164464/2020&type=EC&ID=116367
5,SIA/KL/MIN/152637/2020,Laterite Building Stone Quarry of Mohammed Faisal P,Non-Coal Mining,13 Jun 2020,06/05/2020,28/05/2020,13/06/2020,21/07/2020,,,03/03/2021,,23/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/152637/2020&type=EC&ID=104611
6,SIA/KL/MIN/226994/2021,Granite Building Stone Quarry of M/s Morayoor Granites Pvt Ltd,Non-Coal Mining,27 Apr 2022,31/08/2021,02/09/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/226994/2021&type=EC&ID=190637
7,SIA/KL/IND2/215978/2021,"Offshore Oil and Gas Exploration,Development and Production in Oil and Gas Exploratory Block : KK-OSHP-2018/1",Industrial Projects - 2,08 Oct 2021,21/06/2021,10/09/2021,08/10/2021,06/06/2022,,,24/06/2022,,21/02/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/IND2/215978/2021&type=EC&ID=188499
8,SIA/KL/MIN/181637/2020,Bharathapuzha River Basin Kadavu 11,Non-Coal Mining,02 Nov 2020,02/11/2020,01/05/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/181637/2020&type=EC&ID=142419
9,SIA/KL/MIN/130330/2019,Granite Building Stone Quarry Project of M/s Manjeri Blue Metals,Non-Coal Mining,20 Jul 2021,08/12/2019,02/04/2020,20/07/2021,02/09/2021,,,29/06/2022,,24/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/130330/2019&type=EC&ID=79105
10,SIA/KL/MIN/134791/2020,Proposed granite building stone quarry of Mr.Raju K Thomas,Non-Coal Mining,05 Apr 2020,04/01/2020,04/02/2020,05/04/2020,06/04/2020,,,18/04/2020,,01/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/134791/2020&type=EC&ID=84186
