,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/MP/MIN/40128/2019,LAKHNI FLAG STONE QUARRY,Non-Coal Mining,07 Aug 2019,07/08/2019,30/07/2019,07/08/2019,24/01/2020,,,05/02/2020,18/02/2020,20/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/40128/2019&type=EC&ID=58853
1,SIA/MP/MIN/40913/2019,"DHANELA STONE (GITTY) QUARRY  Khasra No. 3001, 3002, 3000 & 3190",Non-Coal Mining,19 Jan 2022,29/11/2019,29/01/2022,19/01/2022,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/40913/2019&type=EC&ID=61292
2,SIA/MP/MIN/59878/2019,Chatua Granite Mine,Non-Coal Mining,16 Jan 2021,16/01/2021,,,03/02/2021,,,04/02/2021,22/02/2021,17/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/59878/2019&type=EC&ID=160081
3,SIA/MP/MIN/169495/2020,DHARTIKACHHAR ORDINARY SAND QUARRY,Non-Coal Mining,23 Sep 2020,24/08/2020,29/08/2020,23/09/2020,28/09/2020,,,28/09/2020,20/11/2020,22/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/169495/2020&type=EC&ID=124450
4,SIA/MP/MIN/168086/2020,Ramnai Sand quarry,Non-Coal Mining,14 Aug 2020,14/08/2020,,,31/08/2020,,,04/09/2020,24/09/2020,23/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/168086/2020&type=EC&ID=124138
5,SIA/MP/MIN/167325/2020,bamnoda stone quarry,Non-Coal Mining,09 Sep 2020,10/08/2020,03/09/2020,09/09/2020,15/09/2020,,,15/09/2020,23/02/2022,20/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/167325/2020&type=EC&ID=121967
6,SIA/MP/MIN/155936/2020,Kayatkhedi Sand Quarry,Non-Coal Mining,04 Jun 2020,04/06/2020,04/06/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155936/2020&type=EC&ID=110533
7,SIA/MP/MIN/155757/2020,Kulwara Stone Quarry of Ms Chandrika Mines and Minerals,Non-Coal Mining,04 Jun 2020,02/06/2020,04/06/2020,04/06/2020,05/06/2020,,,11/06/2020,21/06/2020,10/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155757/2020&type=EC&ID=110492
8,SIA/MP/MIN/155762/2020,Pondi Sand Quarry,Non-Coal Mining,03 Jun 2020,03/06/2020,,,18/06/2020,,,19/06/2020,17/07/2020,05/08/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/155762/2020&type=EC&ID=110493
9,SIA/MP/MIN/203932/2021,Sarra Kishore Sand Quarry,Non-Coal Mining,16 Mar 2021,16/03/2021,,,22/03/2021,,,22/03/2021,25/03/2021,12/05/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/203932/2021&type=EC&ID=173759
