,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/MH/MIS/199853/2021,"Proposed amendment, internal alteration and additions at Lower Ground Floor, Upper Ground Floor and Service Floor at existing Hotel Building on Plot Bearing CTS No. 867, Village Juhu, Juhu Tara Road, Vile Parle (West), Mumbai",INFRA-2,24-Feb-21,24-02-2021,,,25-02-2021,,,24-03-2021,18-08-2021,13-09-2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/199853/2021&type=EC&ID=165767
1,SIA/MH/NCP/32821/2015,Pyramid I,INFRA-1,14-Nov-15,14-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/32821/2015&type=EC&ID=2264
2,SIA/MH/MIN/32902/2015,Karajghat-A+B Sand ghat auction ,Non-Coal Mining,18-Nov-15,18-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/32902/2015&type=EC&ID=2324
3,SIA/MH/MIN/32923/2015,Wadhana Sand ghat auction,Non-Coal Mining,18-Nov-15,18-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/32923/2015&type=EC&ID=2345
4,SIA/MH/MIN/32932/2015,Ghatrohana Sand ghat auction,Non-Coal Mining,18-Nov-15,18-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/32932/2015&type=EC&ID=2353
5,SIA/MH/MIS/169557/2020,STATURE,INFRA-2,27-Aug-20,27-08-2020,,,30-08-2020,,,27-11-2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/169557/2020&type=EC&ID=124467
6,SIA/MH/MIN/169714/2020,"Palaskhed Stone Quarry of M/s. J. P. Khosla Partner Shri Navinchandra Jogendrapal Khosla, located in Kh No. 258, Village: Palaskhed, Tehsil: Chandur (Railway),  District: Amravati, Maharashtra over an area of 4.11 Ha",Non-Coal Mining,27-Feb-21,26-08-2020,,,30-08-2020,28-01-2021,27-02-2021,19-03-2021,,09-01-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/169714/2020&type=EC&ID=125503
7,SIA/MH/MIS/169801/2020,Proposed Project at Mundhwa by M/s. Velx Construction LLP,INFRA-2,10-Nov-20,10-11-2020,,,26-11-2020,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/169801/2020&type=EC&ID=125519
8,SIA/MH/MIS/55107/2016,"“PIRAMAL REVANTA”Proposed Residential Development On Plot Bearing C.T.S. No. 491a/6 And 491a/5 Of Nahur Village, Mulund, Mumbai ",INFRA-2,02-Jun-16,02-06-2016,,,04-08-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/55107/2016&type=EC&ID=21358
9,SIA/MH/NCP/51661/2016,"Proposal for Amendment in Environmental clearance for Proposed composite building comprising of Residential building along with multi storied Public Parking Lot building at Plot bearing C.S. No 2/1629 and 1A/1629 of Lower Parel Division, Plot No 249,",INFRA-1,15-Mar-16,15-03-2016,,,03-08-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/51661/2016&type=EC&ID=15372
