Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,SIA/GA/INFRA2/429263/2023,GA/EC/0092/2023,Deltin Town,DELTA CORP LIMITED,Under examination of SEIAA after SEAC,EC,
2,SIA/GA/NCP/60899/2016,,Manipal Hospital Goa (LINAC),MANIPAL HOSPITAL GOA,Delisted,EC,
3,SIA/GA/INFRA2/419500/2023,111/3/2023-24/GSEIAA/Project-Prop/,"Proposed Residential cum Commercial Scheme “Anantam Phase 1, 2 3 and Bayhill Phase 4”",EMGEE HOUSING PRIVATE LIMITED,Rejection Letter Granted,EC,
4,SIA/GA/NCP/56910/2016,,"PROPOSED MIXED USE DEVELOPMENT AT VILLAGE PANELIM, PANAJI, GOA",NAIKNAVARE CONSTRUCTION PVT LTD,EC Granted - Processed offline,EC,
5,SIA/GA/INFRA2/422362/2023,110/3/2022-23/GSEIAA/Project-Prop/,"Proposed Residential Building on Plot Bearing Survey no /Sub-Division no. 24/1, 25/1 & 26/1 Situated at Bambolim Village, Tiswadi Taluka, North Goa, Goa",LAKEVIEW MERCANTILE COMPANY PRIVATE LIMITED,Under examination of SEIAA after SEAC,EC,
6,SIA/GA/MIS/205528/2021,GA/EC/0005/2021,"Proposed All India Institute of Ayurveda ""AIIA Goa""",M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,WithdrawEC,EC,
7,SIA/GA/MIN/240139/2021,noted,"Proposed basalt stone quarry with lease area 4.65 ha located on land bearing Survey no.39/1at Village Uguem of Sanguem Taluka, State Goa.",TIMBLO PLANTING PVT. LTD.,EC Granted,EC,
8,SIA/GA/MIN/227709/2021,GA/EC/0023/2021,Sand Mining -Zone-5,"DISTRICT COLLECTOR, NORTH GOA",EC Granted,EC,
9,SIA/GA/MIN/227877/2021,GA/EC/0025/2021,Sand Mining - Zone-3 (Part-1),"DISTRICT COLLECTOR, NORTH GOA",Delisted,EC,
10,SIA/GA/NCP/30865/2015,,"Residential cum Commercial Project at Madgaon city, Goa",SHREM AANSAV REALTY LLP,WithdrawEC,EC,
11,SIA/GA/MIN/227683/2021,GA/EC/0022/2021,Sand Mining -Zone-2,"DISTRICT COLLECTOR, NORTH GOA",EC Granted,EC,
12,SIA/GA/MIN/207574/2021,GA/EC/0011/2021,Velguem Laterite Quarry,B. G. JOSHI,Delisted,EC,
13,SIA/GA/NCP/30856/2015,,"Residential cum Commercial Project at Madgaon city, Goa",SHREM AANSAV REALTY LLP,WithdrawEC,EC,
14,SIA/GA/MIN/415568/2023,125/3/2023-24/GSEIAA/Project-Prop,"Laterite Boulder Quarry with lease area 0.924464 Ha located on land bearing Survey No. 21/1 of Fatorpa Village, Quepem Taluka, South Goa",SHRIKANT DESSAI,Under examination of SEAC,EC,
15,SIA/GA/MIS/233234/2021,noted,"Proposed All India Institute of Ayurveda ""AIIA Goa""",M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,EC Granted,EC,
16,SIA/GA/MIN/281095/2022,Ga/EC/0057/2022,Priyadarshani Hi Tech Associates Basalt Stone Quarry at Vantem,PRIYADARSHANI HI TECH ASSOCIATES,EC Granted,EC,
