Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,SIA/HR/MIS/105045/2019,SEIAA/HR/19/185 hard copy has to be submitted,Affordable Group Housing Colony,OCEAN SEVEN BUILDTECH PVT LTD,EC Granted,EC,
2,SIA/HR/NCP/70316/2017,SEIAA/HR/17/365 dated 15.11.2017,"Affordable Group Housing Colony at Village-Taraf Insar & Rajputan, Panipat",EMPERIUM REALTY PVT. LTD.,EC Granted,EC,
3,SIA/HR/MIS/237772/2021,SEIAA/HR/2021/474,"Proposed Commercial Plotted Colony (SCO) “Bestech Central Boulevard” Village-Hayatpur, Sec-88, Gurugram, Haryana by M/s Bestech India Pvt. Ltd","PROPOSED COMMERCIAL PLOTTED COLONY (SCO) “BESTECH CENTRAL BOULEVARD” VILLAGE-HAYATPUR, SEC-88, GURUGRAM, HARYANA M/S BESTECH INDIA PVT. LTD.",EC Granted,EC,
4,SIA/HR/MIS/31304/2019,,IT OFFICE COMPLEX,SFG EXPORTS (INDIA) PVT. LTD.,Delisted,EC,
5,SIA/HR/MIS/226684/2021,SEIAA/HR/2021/463,"Proposed ""Affordable Group Housing Colony"" at village-Badha, Sector-86, Gurugram, Haryana by M/s GLS Infraprojects Pvt. Ltd and others.",M/S GLS INFRAPROJECTS PVT. LTD AND OTHERS,EC Granted,EC,
6,SIA/HR/MIN/27694/2018,SEIAA/HR/18/174 dated 23.01.2018.,,VISHNU ENTERPRISES,EC Granted - Processed offline,EC,
7,SIA/HR/MIS/31312/2019,"SEIAA/HR/19/14

Hard copy to be submitted",,ESSKAY HYGIENIC SERVICES,EC Granted - Processed offline,EC,
8,SIA/HR/MIS/31321/2019,"SEIAA/HR/19/20

Hard copy to be submitted",,M/S ROYAL MULTIPLEX PVT LTD,EC Granted - Processed offline,EC,
9,SIA/HR/MIS/199721/2021,SEIAA/HR/2021/374 hard copy to be submitted,"Proposed Commercial Colony (Retail, Multiplex & Food Court) at village- Adampur, Sector-50, Gurugram, Haryana by M/s Pyramid City Projects LLP & Others in Collaboration with Elan Ltd",M/S PYRAMID CITY PROJECTS LLP & OTHERS IN COLLABORATION WITH ELAN LTD.,EC Granted,EC,
10,SIA/HR/MIS/72534/2022,SEIAA/HR/2022/197,"Expansion of Proposed Mixed Land Use Colony (70% Residential and 30% Commercial) on the land  measuring 14.4125 Acres in Revenue Estate of village Maidawas and Badshahpur, Sector 65 of GMUC, Gurugram",M/S MANGALAM MULTIPLEX PVT. LTD.,EC Granted,EC,
11,SIA/HR/MIS/48076/2015,SEIAA/HR/19/141 hard copy to be submitted,"Expansion of Commercial Project at Village Silokhera, Sector- 16, Gurugram, Haryana by M/s Vatika One On One Pvt.",VATIKA ONE ON ONE PVT LTD FORMERLY KNOWN AS CALDER DEVELOPERS PVT LTD,EC Granted - Processed offline,EC,
12,SIA/HR/MIS/105891/2019,SEIAA/HR/19/137 file number has already granted,Proposed Commercial Colony 'AIPL Joy Gallery',R.C. SOOD & COMPANY PVT. LTD.,EC Granted,EC,
13,SIA/HR/NCP/75599/2018,SEIAA/HR/18/ 430 dated 05.07.2018,"Setting up of Commercial complex
At- village- Badshahpur, Sector-69, Gurgaon, Haryana
by Sirur Developers LLP (Formerly known as Sirur
Developers Pvt. Ltd.)",SIRUR DEVELOPERS LLP,EC Granted - Processed offline,EC,
14,SIA/HR/MIS/31303/2019,,Expansion of warehouse for storage of non agriculture produce(logistics) by M/s Gokaldas Warehousing Corporation,GOKALDAS WAREHOUSING CORPORATION,Delisted,EC,
15,SIA/HR/NCP/1636/2015,,Residential Plotted Colony at Sector 78 & 79 Distt Gurgaon by M/s Revital Reality Pvt Ltd,REVITAL REALITY PVT LTD,Delisted,EC,
16,SIA/HR/NCP/28191/2017,SEIAA/HR/15/52 dated 31.08.2015,"Commercial Complex ""Spaze Arrow""",SPAZE TOWERS PVT LTD,Delisted,EC,
17,SIA/HR/MIS/31330/2019,,,ALL CARGO MULTIMODEL PVT LTD,Delisted,EC,
18,SIA/HR/MIS/78040/2022,SEIAA/HR/2022/119,Expansion of Residential Plotted Colony,ST PATRICKS REALTY PRIVATE LIMITED,EC Granted,EC,
19,SIA/HR/MIN/11042/2015,File no. SEIAA/HR/MIN/16/148 dated 21.04.2016.,IA/HR/MIN/29152/2015,M/S. NORTHERN ROYALTY COMPANY,EC Granted,EC,
20,SIA/HR/MIS/17184/2016,"SEIAA/HR/16/273
Dated 27.04.2016",Expansion of Group Housing Complex,OASIS BUILD HOME PVT LTD,EC Granted,EC,
21,SIA/HR/MIS/31327/2019,"SEIAA/HR/19/28

Hard copy to be submitted",,M/S METRO INFOCITY REALTORS PVT LTD,EC Granted - Processed offline,EC,
22,SIA/HR/MIS/31331/2019,,,M/S ALL CARGO INLAND PARK PVT. LTD.,Delisted,EC,
23,SIA/HR/MIS/97853/2019,"SEIAA/HR/19/126

Hard copy to be submitted",Affordable Residential Plotted Colony (Site 3) Project (under Deen Dayal Jan Awas Yojna),M/S SIGNATURE GLOBAL HOMES PVT LTD,EC Granted,EC,
24,SIA/HR/MIN/42855/2016,File no. SEIAA/HR/MIN/16/139 dated 18.02.2016.,"MINERAL – BOULDER, GRAVEL & SAND having an area of 12.94Ha. with proposed production capacity of 5,82,300 MTPA  AT Village - Gorakhnath, Tehsil - Kalka, District - Panchkula, State Haryana. Applicant: NASIB SINGH S/O SHRI HARDEEP SINGH",NASIB SINGH,EC Granted,EC,
25,SIA/HR/MIS/109754/2019,,"Commercial colony ""Edge Tower"" at Sector-114, Village-Bajghera, Gurugram, Haryana",RAHEJA DEVELOPERS LIMITED,Delisted,EC,
26,SIA/HR/NCP/50702/2016,File no. SEIAA/HR/16/264 dated 09.03.2016.,"Commercial Project at Village Nakhrola, Sec 81 A, Gurgaon, Haryana by M/s Mahamay Building Solutions Pvt. Ltd.",MAHAMAY BUILDING SOLUTIONS PVT LTD,EC Granted,EC,
27,SIA/HR/MIS/121687/2019,SEIAA/HR/VIO/19/29 hard copy to be submitted,Residential cum Commercial Complex,ROBUST BUILDWELL PRIVATE LIMITED,EC Granted,EC,
28,SIA/HR/MIN/52371/2016,,"Environmental Clearance in respect of River Bed Minor Mineral Mining project  “Mandlai 2 Block/PKL B 22”located in village- Mandlai, Tehsil- Raipur Rani District- Panchkula Haryana.(11.80 ha)",KBM CONTRACTORS,Delisted,EC,
29,SIA/HR/MIS/65247/2017,,Warehouse (for storage of commercial goods),SIGNATURE BUILDERS PVT LTD,Delisted,EC,
30,SIA/HR/MIN/10862/2015,File no. SEIAA/HR/MIN/16/144 dated 18.04.2016. Ple,IA/HR/MIN/27668/2015,MS ULTIMATE GROUP,EC Granted,EC,
31,SIA/HR/NCP/52909/2016,File no. SEIAA/HR/16/272 dated 18.04.2016. Please,“IT/ITES Project” (Expansion) by M/s JSK Multi Products Pvt. Ltd.,JSK MULTI PRODUCTS PVT LTD,EC Granted,EC,
32,SIA/HR/MIS/104055/2019,SEIAA/HR/19/152,"IT-Park Project by M/s Titan Infracon LLP. at Village Tikri, Sector-48, Gurugram, Haryana",TITAN INFRACON LLP,Delisted,EC,
33,SIA/HR/MIS/184758/2020,SEIAA/HR/2020/346 hard copy to be submitted,"Expansion of Commercial Complex ""Baani City Center""",M/S AALIYAH REAL ESTATES PVT. LTD..,EC Granted,EC,
34,SIA/HR/MIS/72466/2022,,Revision & Expansion of Logistics Park Project,M/S TOPLINE LOGISTICS PARK PRIVATE LIMITED,Delisted,EC,
35,SIA/HR/NCP/30286/2015,,"Affordable Group Housing Colony
by M/s AAR Housing Pvt. Ltd.
Village-Alipur, Sector- 31 Part (HD) of Sohna, Gurgaon, Haryana",AAR HOUSING PVT LTD,Delisted,EC,
36,SIA/HR/NCP/70960/2017,,Amravati Enclave,AMARNATH AGGARWAL INVESTMENTS P LIMITED,Delisted,EC,
37,SIA/HR/MIS/60009/2021,,"EC FOR EXPANSION OF RESIDENTIAL PROJECT “LAVANYA APARTMENT”
LOCATED AT SECTOR-81, VILLAGE NAWADA FATEHPUR, GURGAON",GRAPHIC RESEARCH CONSULTANTS (INDIA) PRIVATE LIMITED,Delisted,EC,
38,SIA/HR/NCP/58232/2016,"SEIAA/HR/16/288
Dated 10.08.2016",Residential Plotted Colony at Sec 24 Village Garhi Alwalpur Dharuhera Rewari Haryana by M/s Gopal Hitech Infra Developers Pvt Ltd,GOPAL HITECH INFRA DEVELOPERS PVT LTD,Delisted,EC,
39,SIA/HR/MIS/115914/2019,SEIAA/HR/19/193 hard copy has to be submitted,Affordable Group housing Colony by Adore Realtech Private Limited,ADORE REALTECH PRIVATE LIMITED,EC Granted - Processed offline,EC,
40,SIA/HR/NCP/64500/2017,SEIAA/HR/17/329   dated 09.05.2017,Proposed Affordable Group Housing Scheme Measuring 7.394 Acres in Sector 78 Faridabad Haryana,CONSCIENT INFRASTRUCTURE PVT LTD,EC Granted,EC,
41,SIA/HR/NCP/69824/2017,SEIAA/HR/17/ 351 dated 25.09.2017,"Residential Plotted Colony measuring 13.40625 acres under Deen Dayal Jan Awas Yojana-2016 located at Village Alawalpur, Sector-19, Dharuhera, Rewari, Haryana",MG HOUSING PVT. LTD.,EC Granted - Processed offline,EC,
42,SIA/HR/MIS/114342/2019,SEIAA/HR/19/204,"""INDUSTRIAL BUILDING PROJECT"" BY M/s HANS BUILDWELL PVT. LTD.",HANS BUILDWELL PVT LTD,EC Granted - Processed offline,EC,
44,SIA/HR/MIS/116969/2019,SEIAA/HR/19/203 hard copy to be submitted,Revision & Expansion of Warehouse and Logistics Park,MS ANTARIKSH WAREHOUSING AND LOGISTIC PARKS PRIVATE LIMITED,EC Granted - Processed offline,EC,
45,SIA/HR/MIS/117158/2019,SEIAA/HR/19/205,Warehouse (Logistics),GOKALDASWAREHOUSING CORPORATION,EC Granted - Processed offline,EC,
46,SIA/HR/INFRA2/415562/2023,SEIAA/HR/2023/313,Expansion cum modification of Residential Plotted Colony “Emerald Hills”,EMAAR INDIA LIMITED,Deferred by SEAC,EC,
