Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,SIA/WB/MIS/126176/2019,,Housing Complex,M/S. FORT BUILDERS,Delisted,EC,
2,SIA/WB/MIN/62746/2017,EN/T-II-1/015/2017,Saharjora Fire Clay Mine,SHRI JITENDRANATH BANERJEE,EC Granted - Processed offline,EC,
3,SIA/WB/NCP/72662/2018,EN/T-II-1/010/2018,Residential cum Commercial Complex,BRL ESTATES LLP,EC Granted,EC,
4,SIA/WB/MIN/188034/2020,,T.R.S. Brick Field,M/S T.R.S. BRICK FIELD,Delisted,EC,
5,SIA/WB/MIN/262503/2022,EN/T-II-1/031/2023,Bangpur Sand Mine Damodar River Dinanath Chowdhury,"BANGPUR SAND MINE, DINANATH CHAWDHERY",Rejection Letter Granted,EC,
6,SIA/WB/MIN/274629/2022,EN/T-II-1/016/2023,Krishnadebpur Sand Mine Basiruddin Seikh,BASIRUDDIN SEIKH,Rejection Letter Granted,EC,
7,SIA/WB/INFRA2/415599/2023,EN/T-II-1/050/2023,Residential Complex by Neelkanth Nirman Pvt. Ltd.,NEELKANTH NIRMAN PRIVATE LIMITED,EC Granted,EC,
8,SIA/WB/MIN/416022/2023,EN/T-II-1/047/2023,MIN_BNK_16_A Sand Mine,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted,EC,
9,SIA/WB/MIN/415707/2023,EN/T-II-1/048/2023,MIN_BNK_50_II Sand Mine,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted,EC,
10,SIA/WB/MIS/145873/2020,,Expansion of “JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL” – (A unit of Urmila Devi Jagannath Gupta Charitable Trust) from 350 Beds to 750 Beds,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL A UNIT OF URMILA DEVI JAGANNATH GUPTA CHARITABLE TRUST,WithdrawEC,EC,
12,SIA/WB/NCP/41530/2016,EN/T-II-1/005/2016,Alpine Heights,MOTIJUG AGENCIES LTD AND OTHERS,WithdrawEC,EC,
13,SIA/WB/NCP/63911/2017,EN/T-II-1/020/2017,Residential with mercantile building - Building & Construction Project,MUKTAMANI VANIJYA PRIVATE LIMITED,EC Granted,EC,
