,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/RJ/MIN/39639/2016,Narvo Devi Stone Mining (ML No. 745/04),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39639/2016&type=EC&ID=8590
1,SIA/RJ/MIN/39703/2016,Birkiya Patti katla Quarry licence Area (Q.L. No-115),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39703/2016&type=EC&ID=8648
2,SIA/RJ/MIN/39707/2016,Jase Ka Gaon Silica sand mine (M.L. No. 18/2010),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39707/2016&type=EC&ID=8652
3,SIA/RJ/MIN/48846/2016,QL. NO. 9 NAYO KI BERI SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48846/2016&type=EC&ID=12667
4,SIA/RJ/MIN/48854/2016,Gangora Masonary Stone Mine Project (300/06) of Mahesh Chand Sharma,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48854/2016&type=EC&ID=12675
5,SIA/RJ/MIN/48859/2016,QL. NO. 14 GOLASANI SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48859/2016&type=EC&ID=12680
6,SIA/RJ/MIN/48877/2016,QL. NO. 36 NAYO KI BERI SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48877/2016&type=EC&ID=12696
7,SIA/RJ/MIN/48881/2016,QL. NO. 40 NAYO KI BERI SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48881/2016&type=EC&ID=12700
8,SIA/RJ/MIN/48887/2016,QL. NO. 44 NAYO KI BERI SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48887/2016&type=EC&ID=12705
9,SIA/RJ/MIN/48891/2016,QL. NO. 63 DANTALA SANDSTONE,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48891/2016&type=EC&ID=12709
10,SIA/RJ/MIN/53172/2016,"SILICA SAND MINING PROJECT 
Near Village Parewar, Tehsil & District-Jaisalmer, Rajasthan
ML No. (370/2013)
AREA – 4.50 ha
",Non-Coal Mining,26 Apr 2016,26/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53172/2016&type=EC&ID=19618
11,SIA/RJ/MIN/53214/2016,Devariya Quartz Feldspar Mine 309/06,Non-Coal Mining,27 Apr 2016,27/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53214/2016&type=EC&ID=19650
12,SIA/RJ/MIN/53221/2016,Quartz & Feldspar Mine ( M L NO. 140/2006 ),Non-Coal Mining,27 Apr 2016,27/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53221/2016&type=EC&ID=19657
13,SIA/RJ/MIN/53238/2016,"Quartz and feldspar minning project
ML No-05/2003
Area-4.00 Hect.
Lessee- Shashi Jhalaani
near village- Hanutia, tehsil-Bonli, sawai madhopur (raj)
",Non-Coal Mining,27 Apr 2016,27/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53238/2016&type=EC&ID=19674
14,SIA/RJ/MIN/53268/2016,M/s Maa Brahmani Khanij Udhyog,Non-Coal Mining,28 Apr 2016,28/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53268/2016&type=EC&ID=19697
15,SIA/RJ/MIN/75565/2018,"Transfer of Quartz, Feldspar & Mica Mining Lease ML No. 87/2002, ML area 5.0 ha at Near Village: Banthali- Kharwar, Tehsil: Sarwar, District: Ajmer, Rajasthan",Non-Coal Mining,25 Jun 2018,25/06/2018,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/75565/2018&type=EC&ID=44642
16,SIA/RJ/MIN/199740/2021,"Masonry Stone Mining Project, M.L. No. 20/2007",Non-Coal Mining,24 Feb 2021,24/02/2021,,,17/03/2021,,,27/05/2021,23/08/2021,23/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/199740/2021&type=EC&ID=164739
17,SIA/RJ/MIN/41184/2019,"Masonry Stone Mining Project  Plot No. 06, Area –1.15 Ha. Production capacity of mine: 100000 TPA (ROM)  Near village – Sanjay Nagar, Tehsil– Khetri, District – Jhunjhunu (Rajasthan)",Non-Coal Mining,30 Aug 2019,30/08/2019,28/08/2019,30/08/2019,24/09/2019,,,24/02/2020,05/05/2020,14/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41184/2019&type=EC&ID=61462
18,SIA/RJ/MIN/93954/2019,"Marble Mine, ML NO. - 141/2006",Non-Coal Mining,02 Feb 2019,02/02/2019,28/05/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/93954/2019&type=EC&ID=52479
19,SIA/RJ/MIN/48551/2016,QL. NO. 976 KERU SANDSTONE,Non-Coal Mining,09 Feb 2016,09/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48551/2016&type=EC&ID=12377
20,SIA/RJ/MIN/52694/2016,Masonary Stone Mine ( M L NO. 75/2005 ),Non-Coal Mining,09 Apr 2016,09/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/52694/2016&type=EC&ID=17249
21,SIA/RJ/MIN/52708/2016,Masonary Stone Mine ( M L NO. 389/2008 ),Non-Coal Mining,09 Apr 2016,09/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/52708/2016&type=EC&ID=17263
22,SIA/RJ/MIN/39467/2016,"Proposed White Clay & China Clay Mine,M.L.No-50/2007,Production Capacity-21318 TPA,M.L.Area-4.794 Ha",Non-Coal Mining,10 Jan 2016,10/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39467/2016&type=EC&ID=8439
23,SIA/RJ/MIN/223648/2021,"Ball clay & Bajri Mining project, M L Area 4.95, Plot no. 25, with Production  capacity 3,22,121 TPA, (ROM), Located at N/v - Gangapura, Tehsil- Kolayat, Distt- Bikaner, (Raj.) , Sh. Sharad kochhar S/O Sh. Raman kochhar",Non-Coal Mining,10 Aug 2021,10/08/2021,,,02/09/2021,,,31/01/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/223648/2021&type=EC&ID=189908
24,SIA/RJ/MIN/39512/2016,"Proposed Quartz & Feldspar Mine,M.L.No-165/2006,Production Capacity-20,885 TPA,M.L.Area-4.740 Ha",Non-Coal Mining,10 Jan 2016,10/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39512/2016&type=EC&ID=8483
25,SIA/RJ/MIN/39522/2016,Akbarpur Mew (M.L. No. 123/07) Masonary Stone Mine,Non-Coal Mining,10 Jan 2016,10/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39522/2016&type=EC&ID=8492
26,SIA/RJ/MIN/39533/2016,manpura old ql area (plot no. 379),Non-Coal Mining,10 Jan 2016,10/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39533/2016&type=EC&ID=8503
27,SIA/RJ/MIN/39540/2016,Jhak liestone mine (ML No 88/1993),Non-Coal Mining,10 Jan 2016,10/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39540/2016&type=EC&ID=8510
28,SIA/RJ/MIN/40051/2016,"MORIYA MUNJASAR MARBLE MINE M.L. NO.-23/02 MINING AREA – 4.00 Hect. M/S BHATTAR & COMPANY
PRO.-SH. SHANKAR LAL BHATTAR",Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40051/2016&type=EC&ID=8942
29,SIA/RJ/MIN/40054/2016,"PANCHALWARA GRANITE  MINE M.L. NO-12/14 of
M/s Bhawani Granite Panchalwara                                              ",Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40054/2016&type=EC&ID=8944
30,SIA/RJ/MIN/53602/2016,Masonary Stone Mine ( M L NO. 1/2012 ),Non-Coal Mining,10 May 2016,10/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53602/2016&type=EC&ID=19965
31,SIA/RJ/MIN/53650/2016,"Masonry Stone Mining Project,  83/2004, Area 1.00 Ha., located n/v - Gwalda, Tehsil - Tijara, District- Alwar (Raj.) of                     M/s. N.K. Gupta.",Non-Coal Mining,11 May 2016,11/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53650/2016&type=EC&ID=20002
32,SIA/RJ/MIN/53652/2016,"Masonry Stone Mining Project,  84/2004, Area 1.0 Ha., located n/v - Gwalda, Tehsil - Tijara, District- Alwar (Raj.) of Shri B.K. Gupta.",Non-Coal Mining,11 May 2016,11/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53652/2016&type=EC&ID=20003
33,SIA/RJ/MIN/53694/2016,"Masonry Stone Mining Project,  86/2004, Area 1.00 Ha., located N/v - Gwalda, Tehsil - Tijara, District- Alwar (Raj.) of                   M/s. Pushpa Gupta",Non-Coal Mining,12 May 2016,12/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53694/2016&type=EC&ID=20045
