,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/RJ/NCP/55119/2016,"Proposed Group Housing Project,
 Promoted by M/s Stanford Developers",INFRA-1,01 Jun 2016,01/06/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/NCP/55119/2016&type=EC&ID=21366
1,SIA/RJ/MIN/48718/2016,Brick Earth Mine ( M L NO. 6/2004 ),Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48718/2016&type=EC&ID=12542
2,SIA/RJ/MIN/94091/2019,"Granite Mine, ML NO. - 25/1998",Non-Coal Mining,02 Feb 2019,02/02/2019,29/01/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/94091/2019&type=EC&ID=52516
3,SIA/RJ/MIN/40095/2016,SAWA OLD LIMESTONE KHANDA FARSI (PLOT NO.-199),Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40095/2016&type=EC&ID=8981
4,SIA/RJ/MIN/57450/2016,"Masonry Stone Mining Project
ML No.- 02/1996",Non-Coal Mining,14 Jul 2016,14/07/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/57450/2016&type=EC&ID=23507
5,SIA/RJ/MIN/84886/2018,"Limestone (Building Stone) Mining Project; Delineated Khatedari Block No. 6 ; M/s Stone & Stone Corporate India Pvt. Ltd.
Shri Gurjeev Singh Anand ",Non-Coal Mining,06 Nov 2018,06/11/2018,,,15/01/2019,,,05/03/2019,,06/09/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/84886/2018&type=EC&ID=47585
6,SIA/RJ/MIN/42434/2016,Riyashyamdas masonry stone mine (ML NO. 30/1998),Non-Coal Mining,27 Jan 2016,27/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42434/2016&type=EC&ID=11178
7,SIA/RJ/MIN/42443/2016,"Kelwa Marble Mine
(M.L. No.- 49/2006)
",Non-Coal Mining,27 Jan 2016,27/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42443/2016&type=EC&ID=11187
8,SIA/RJ/MIN/42445/2016,SAWA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-51,Non-Coal Mining,27 Jan 2016,27/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42445/2016&type=EC&ID=11189
9,SIA/RJ/MIN/42462/2016,MOIKALAN MASONARY MINING PROJECT (ML No.10/97),Non-Coal Mining,28 Jan 2016,28/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42462/2016&type=EC&ID=11205
10,SIA/RJ/MIN/42466/2016,QUARTZ & FELDSPAR MINING PROJECT(M.L. No 14/2002),Non-Coal Mining,28 Jan 2016,28/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42466/2016&type=EC&ID=11208
11,SIA/RJ/MIN/42529/2016,QL NO. 328 PALDI-A SANDSTONE,Non-Coal Mining,28 Jan 2016,28/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42529/2016&type=EC&ID=11267
12,SIA/RJ/MIN/42554/2016,"Mandpura Masonary Stone Mine (ML   461/04) of Sh. Omprakash & Vijay Singh, Teh-Bayana, Distt-Bharatpur",Non-Coal Mining,29 Jan 2016,29/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42554/2016&type=EC&ID=11291
13,SIA/RJ/MIS/19375/2015,"150 KLD CETP” At RIICO Industrial Area, Gohana, Beawar, District- Ajmer, Rajasthan.",INFRA-2,16 May 2017,16/05/2017,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIS/19375/2015&type=EC&ID=35283
14,SIA/RJ/MIN/39250/2018,M/s P.C. FERRO MELTERS PVT. LTD,Non-Coal Mining,10 Sep 2019,10/09/2019,09/09/2019,10/09/2019,24/09/2019,,,29/06/2020,,03/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39250/2018&type=EC&ID=57445
15,SIA/RJ/MIN/60911/2016,"Datunda Phyllite Schist Mine
M.L. No. 26/2005",Non-Coal Mining,07 Dec 2016,07/12/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/60911/2016&type=EC&ID=33041
16,SIA/RJ/MIN/41331/2016,ML NO. 93/2006 MASONARY STONE 01 HECT. OF SH. ILAMDIN KHAN,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41331/2016&type=EC&ID=10151
17,SIA/RJ/MIN/41339/2016,NAYO KI BERI SANDSTONE MINE Q.L. NO. – 20 SH. DHARM VEER,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41339/2016&type=EC&ID=10158
18,SIA/RJ/MIN/41369/2016,M/s Maruti Nandan Mintech Pvt Ltd Masonry Stone Mining,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41369/2016&type=EC&ID=10187
19,SIA/RJ/MIN/41404/2016,Buri Beri sand stone mine (Q.L N.O 20) Cluster 9,Non-Coal Mining,18 Jan 2016,18/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41404/2016&type=EC&ID=10222
