,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/TN/MIN/145290/2020,"S.Raju,Rough stone and Gravel,Extent of 2.50.0 Ha in S.F.Nos. 180/4, 180/5, 180/8, 180/9, 180/10 and 180/11 at Periya Venmani Village of Maduranthagam Taluk, Kancheepuram DT",Non-Coal Mining,12 Dec 2020,25/02/2020,29/10/2020,12/12/2020,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/145290/2020&type=EC&ID=91794
1,SIA/TN/MIN/27887/2018,Bhuvaneshwari Granite Quarry ,Non-Coal Mining,25 Jun 2018,25/06/2018,,,20/07/2018,,,19/09/2018,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/27887/2018&type=EC&ID=44641
2,SIA/TN/MIN/149887/2020,Rough Stone and Gravel Quarry of Thiru.S.Perumal,Non-Coal Mining,15 Sep 2020,21/03/2020,03/07/2020,15/09/2020,13/10/2020,,,27/10/2020,31/10/2020,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/149887/2020&type=EC&ID=99834
3,SIA/TN/MIN/53681/2016,"K. Yusuff Basha, Managing Partner of Syhims Granites,Multi-Colour Granite Quarry over an extent of 2.00.0Acres,S.F.No.441/4&442(P) in Kazhugur Village,Kulithalai Taluk,Karur District.",Non-Coal Mining,12 May 2016,12/05/2016,,,17/02/2017,,,17/02/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/53681/2016&type=EC&ID=20033
4,SIA/TN/MIN/61032/2016,"Sarojini Golden jubilee Rural self
employment planning society, Rough Stone Quarry
from over an Extent of 0.30.0Ha in S.F No: 589/7 (P) at Lembalakudi Village of Thirumayam
Taluk, Pudukkottai District. ",Non-Coal Mining,11 Dec 2016,11/12/2016,,,07/03/2017,,,07/03/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61032/2016&type=EC&ID=33106
5,SIA/TN/MIN/61033/2016,"Sembaruthi Golden jubilee Rural self
employment planning society, Rough Stone Quarry
from over an Extent of 0.35.0Ha in S.F No: 589/13 (Q.No.10) at Lembalakudi Village of
Thirumayam Taluk, Pudukkottai District. ",Non-Coal Mining,11 Dec 2016,11/12/2016,,,07/03/2017,,,07/03/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61033/2016&type=EC&ID=33107
6,SIA/TN/MIN/61133/2016,"M.Gandhi, Multi Colour
Granite quarry from over an Extent of 1.48.5Ha in S.F.Nos. 224/11, 224/20B, 224/27A,
224/27B2 and 224/28A at Ariyur Village of Illupur Taluk, Pudukkottai District. ",Non-Coal Mining,21 Dec 2016,21/12/2016,,,17/02/2017,,,17/02/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61133/2016&type=EC&ID=33183
7,SIA/TN/MIN/61140/2016,"M.Gandhi, Multi Colour
Granite quarry from over an Extent of 1.87.0Ha in S.F.Nos. 21/1, 21/2, 21/3, 21/4, 21/5,
21/7, 21/8, 21/9, 21/10, 21/11, 21/12, 21/13, 21/14, 21/15A, 21/15B, 21/16, 21/17, 21/18A,
21/18B, 21/18C, 21/19, 21/44, 21/46, 21/47 a",Non-Coal Mining,21 Dec 2016,21/12/2016,,,17/02/2017,,,17/02/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61140/2016&type=EC&ID=33190
8,SIA/TN/MIN/61143/2016,"The Executive Engineer, Sand quarry from
over an Extent of 8.50.0Ha in S.F.No. 22/1 (P) at Kadaladi Village of Kadaladi Taluk,
Ramanathapuram District. ",Non-Coal Mining,21 Dec 2016,21/12/2016,,,04/05/2017,,,17/07/2017,28/12/2017,09/10/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61143/2016&type=EC&ID=33192
9,SIA/TN/MIN/166567/2020,ROUGH STONE QUARRY OF THIRU.R.BALACHANDAR,Non-Coal Mining,15 Mar 2021,19/08/2020,01/09/2020,15/03/2021,01/04/2021,,,01/04/2021,29/04/2021,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/166567/2020&type=EC&ID=121779
