,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/TG/MIN/46362/2019,M/s. Sri Lakshmi Narshima Stone Crusher,Non-Coal Mining,13 Nov 2019,13/11/2019,,,07/12/2019,,,17/01/2020,20/02/2020,06/03/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/46362/2019&type=EC&ID=71862
1,SIA/TG/MIS/130916/2019,Vasavi Lake City East,INFRA-2,11 Dec 2019,11/12/2019,,,13/12/2019,,,13/02/2020,10/03/2020,17/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/130916/2019&type=EC&ID=79257
2,SIA/TG/MIN/42966/2019,Smt. N. Swarnalatha - Mining of Rough Stone & Road Metal,Non-Coal Mining,16 Sep 2019,16/09/2019,,,07/12/2019,,,16/01/2020,20/02/2020,06/03/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/42966/2019&type=EC&ID=63660
3,SIA/TG/MIS/161984/2020,"K.S.R Homes India Pvt. Ltd.,",INFRA-2,04 Jul 2020,04/07/2020,,,17/09/2020,,,17/09/2020,09/02/2021,12/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/161984/2020&type=EC&ID=115746
4,SIA/TG/MIS/244705/2021,M/s. The My Nest Infra,INFRA-2,13 Dec 2021,13/12/2021,,,14/12/2021,,,14/12/2021,28/12/2021,15/02/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/244705/2021&type=EC&ID=194890
5,SIA/TG/MIS/268677/2022,“Super-Speciality Hospital” at Warangal as part of Warangal Health City by Government of Telangana,INFRA-2,22 Apr 2022,22/04/2022,,,05/05/2022,,,06/05/2022,,24/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/268677/2022&type=EC&ID=202325
6,SIA/TG/MIN/269387/2022,Rough Stone & Road Metal Quarry,Non-Coal Mining,25 Apr 2022,25/04/2022,,,05/05/2022,,,10/05/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/269387/2022&type=EC&ID=202507
7,SIA/TG/MIS/222729/2021,M/s. S.K.T Constructions & Developers,INFRA-2,02 Aug 2021,02/08/2021,,,07/08/2021,,,07/08/2021,23/08/2021,04/09/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/222729/2021&type=EC&ID=189736
8,SIA/TG/MIN/175978/2020,Sri Chada Narayana Reddy -1.0 ha,Non-Coal Mining,28 Sep 2020,28/09/2020,,,12/11/2020,,,17/02/2021,18/03/2021,20/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/175978/2020&type=EC&ID=134175
9,SIA/TG/MIS/178888/2020,Canny Forest Edge,INFRA-2,21 Oct 2020,21/10/2020,,,09/11/2020,,,17/02/2021,18/03/2021,20/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/178888/2020&type=EC&ID=137864
10,SIA/TG/MIS/126686/2019,Sangeet Mall & Multiplex,INFRA-2,22 Nov 2019,22/11/2019,,,03/12/2019,,,04/12/2019,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/126686/2019&type=EC&ID=75252
11,SIA/TG/MIN/131244/2019,Gatti Nellikuduru Stone & Metal Quarry Project,Non-Coal Mining,13 Dec 2019,13/12/2019,,,04/01/2020,,,14/02/2020,19/03/2020,21/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/131244/2019&type=EC&ID=79336
12,SIA/TG/IND2/199531/2021,"Proposed Establishment of Active Pharmaceutical Ingredients (APIs)  and API Intermediates Manufacturing Unit by M/s. Optimus Drugs Private Limited, Unit-IV",Industrial Projects - 2,22 Feb 2021,22/02/2021,,,16/03/2021,,,16/03/2021,01/04/2021,08/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/199531/2021&type=EC&ID=164684
13,SIA/TG/MIS/196961/2021,Vertex Vega by M/s. Vertex Vega Developers LLP & Others,INFRA-2,06 Feb 2021,06/02/2021,,,09/02/2021,,,25/02/2021,19/03/2021,27/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/196961/2021&type=EC&ID=163010
14,SIA/TG/MIS/196976/2021,Oracle Hyderabad Campus By M/s Oracle India Private Limited,INFRA-2,06 Feb 2021,06/02/2021,,,09/02/2021,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/196976/2021&type=EC&ID=163013
15,SIA/TG/MIN/202939/2021,M/s.S.R.Granites,Non-Coal Mining,10 Mar 2021,10/03/2021,,,27/03/2021,,,05/04/2021,20/04/2021,23/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/202939/2021&type=EC&ID=172486
16,SIA/TG/MIS/224955/2021,"EC for the Existing IT Campus of Virtusa Consulting Services Private Limited, Survey No: 115/Part, Plot No: 10, TSIIC Limited, SEZ, Nanakramguda village, Serilingampally Mandal, Gachibowli, Hyderabad, Rangareddi District, Telangana State.",INFRA-2,19 Aug 2021,19/08/2021,,,06/09/2021,,,06/09/2021,09/11/2021,24/03/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/224955/2021&type=EC&ID=190211
17,SIA/TG/MIN/250714/2022,SRI BANOTH RAVINDER,Non-Coal Mining,09 Jan 2022,09/01/2022,,,03/02/2022,,,08/02/2022,24/02/2022,23/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/250714/2022&type=EC&ID=197639
18,SIA/TG/IND3/249215/2021,API and API Intermediates Manufacturing facility by Dr N Karunakar Reddy and K Ravinder Reddy,Industrial Projects - 3,31 Dec 2021,31/12/2021,,,21/01/2022,,,29/01/2022,12/02/2022,29/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND3/249215/2021&type=EC&ID=196228
19,SIA/TG/MIN/270835/2022,Sri Durga Enterprises,Non-Coal Mining,02 May 2022,02/05/2022,,,23/05/2022,,,24/05/2022,,27/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/270835/2022&type=EC&ID=202846
20,SIA/TG/MIS/115252/2019,Myscape Properties Private Limited,INFRA-2,22 Aug 2019,22/08/2019,,,15/10/2019,,,17/10/2019,28/10/2019,23/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/115252/2019&type=EC&ID=62670
21,SIA/TG/MIN/41880/2019,M/s.FF Enterprises -Quartz & Feldspar,Non-Coal Mining,28 Aug 2019,28/08/2019,,,07/12/2019,,,07/01/2020,31/01/2020,07/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/41880/2019&type=EC&ID=62919
22,SIA/TG/MIN/175635/2020,"Proposed River Sand Mining Project for mining of ordinary sand over an Extent of 5.00 ha in Edhira village, Venkatapuram Mandal, Mulugu District, Telangana State",Non-Coal Mining,26 Sep 2020,26/09/2020,,,12/11/2020,,,10/12/2020,16/01/2021,02/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/175635/2020&type=EC&ID=134049
23,SIA/TG/IND2/175792/2020,Establish of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit (10.41 TPD)  by M/s. Chemic laboratories Pvt. Ltd,Industrial Projects - 2,27 Sep 2020,27/09/2020,,,12/11/2020,,,20/01/2021,25/02/2021,26/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/175792/2020&type=EC&ID=134116
24,SIA/TG/MIN/179739/2020,J Lavanya Prasad Raju,Non-Coal Mining,19 Oct 2020,19/10/2020,,,09/11/2020,,,17/02/2021,18/03/2021,20/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/179739/2020&type=EC&ID=139027
25,SIA/TG/MIN/146062/2020,M/S. Sri Laxmi Stone Crusher,Non-Coal Mining,05 Mar 2020,05/03/2020,,,07/11/2020,,,16/03/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/146062/2020&type=EC&ID=94930
26,SIA/TG/IND2/165800/2020,Rudra Labs,Industrial Projects - 2,30 Jul 2020,30/07/2020,12/08/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/165800/2020&type=EC&ID=121614
27,SIA/TG/IND2/205991/2021,Establishment of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit of capacity 14.9 TPD by M/s. Sanjeevani Pharma,Industrial Projects - 2,25 Mar 2021,25/03/2021,,,05/04/2021,,,05/04/2021,18/04/2021,26/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/205991/2021&type=EC&ID=175288
28,SIA/TG/MIS/205816/2021,Jubilee Hills Land Mark Projects by M/s Jubilee Hills Land Mark Projects Private Limited,INFRA-2,24 Mar 2021,24/03/2021,,,05/04/2021,,,05/04/2021,18/04/2021,24/04/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIS/205816/2021&type=EC&ID=175235
